DATE,CCUSMA02NZM618N_NBD19600101
1972-12-01,115.98326
1973-01-01,115.34960
1973-02-01,108.97985
1973-03-01,103.12057
1973-04-01,103.35185
1973-05-01,103.23538
1973-06-01,103.48817
1973-07-01,101.27866
1973-08-01,101.29945
1973-09-01,94.98614
1973-10-01,93.02014
1973-11-01,93.80181
1973-12-01,95.54394
1974-01-01,98.02282
1974-02-01,98.36608
1974-03-01,95.66403
1974-04-01,94.53517
1974-05-01,93.98075
1974-06-01,94.38291
1974-07-01,94.50371
1974-08-01,95.32337
1974-09-01,97.96502
1974-10-01,105.17798
1974-11-01,105.24998
1974-12-01,104.67644
1975-01-01,103.91161
1975-02-01,102.69914
1975-03-01,101.93003
1975-04-01,103.20818
1975-05-01,103.92717
1975-06-01,104.44182
1975-07-01,107.18135
1975-08-01,123.29610
1975-09-01,129.58398
1975-10-01,130.74678
1975-11-01,130.81021
1975-12-01,131.91187
1976-01-01,131.68354
1976-02-01,131.54616
1976-03-01,133.24925
1976-04-01,136.33679
1976-05-01,138.08355
1976-06-01,139.98200
1976-07-01,138.86885
1976-08-01,137.83520
1976-09-01,138.11674
1976-10-01,142.09116
1976-11-01,143.70228
1976-12-01,149.20904
1977-01-01,144.47078
1977-02-01,144.10766
1977-03-01,143.91287
1977-04-01,143.24077
1977-05-01,143.27350
1977-06-01,143.14137
1977-07-01,141.96064
1977-08-01,142.02884
1977-09-01,142.15665
1977-10-01,140.60700
1977-11-01,139.10164
1977-12-01,137.23190
1978-01-01,135.02079
1978-02-01,134.97361
1978-03-01,134.55200
1978-04-01,135.10602
1978-05-01,136.53128
1978-06-01,135.64370
1978-07-01,133.12665
1978-08-01,130.87073
1978-09-01,130.85370
1978-10-01,129.13608
1978-11-01,130.55142
1978-12-01,131.72381
1979-01-01,130.47164
1979-02-01,131.44339
1979-03-01,131.51250
1979-04-01,132.00660
1979-05-01,132.38190
1979-06-01,133.94568
1979-07-01,135.85308
1979-08-01,136.54028
1979-09-01,137.89898
1979-10-01,140.73822
1979-11-01,142.91706
1979-12-01,141.43784
1980-01-01,140.43519
1980-02-01,141.36471
1980-03-01,145.01190
1980-04-01,146.16426
1980-05-01,142.31712
1980-06-01,140.33316
1980-07-01,140.41251
1980-08-01,141.76734
1980-09-01,140.87745
1980-10-01,141.28947
1980-11-01,143.20560
1980-12-01,145.17846
1981-01-01,144.29316
1981-02-01,148.05406
1981-03-01,150.25692
1981-04-01,153.35034
1981-05-01,157.09478
1981-06-01,161.08290
1981-07-01,165.20679
1981-08-01,168.24852
1981-09-01,167.86572
1981-10-01,168.47688
1981-11-01,166.74688
1981-12-01,167.65623
1982-01-01,170.21120
1982-02-01,174.45728
1982-03-01,178.21188
1982-04-01,180.94824
1982-05-01,179.95547
1982-06-01,184.73301
1982-07-01,187.24356
1982-08-01,189.47187
1982-09-01,191.31684
1982-10-01,194.15504
1982-11-01,194.79399
1982-12-01,190.70604
