DATE,CCUSMA02FRM618N_NBD19600101
2005-10-01,111.05258
2005-11-01,113.27348
2005-12-01,112.64270
2006-01-01,110.24447
2006-02-01,111.89157
2006-03-01,111.04024
2006-04-01,108.77025
2006-05-01,104.59019
2006-06-01,105.50481
2006-07-01,105.24832
2006-08-01,104.28227
2006-09-01,104.91652
2006-10-01,105.84250
2006-11-01,103.64164
2006-12-01,101.21880
2007-01-01,102.75989
2007-02-01,102.08662
2007-03-01,100.82986
2007-04-01,98.88457
2007-05-01,98.87952
2007-06-01,99.53083
2007-07-01,97.38452
2007-08-01,98.08324
2007-09-01,96.03278
2007-10-01,93.88583
2007-11-01,90.94162
2007-12-01,91.74763
2008-01-01,90.79818
2008-02-01,90.65964
2008-03-01,86.04649
2008-04-01,84.84354
2008-05-01,85.83914
2008-06-01,85.88714
2008-07-01,84.77885
2008-08-01,89.37326
2008-09-01,93.11992
2008-10-01,100.64148
2008-11-01,105.01692
2008-12-01,99.49288
2009-01-01,101.30306
2009-02-01,104.28885
2009-03-01,102.44709
2009-04-01,101.18404
2009-05-01,97.78322
2009-06-01,95.32723
2009-07-01,94.82731
2009-08-01,93.64822
2009-09-01,91.70506
2009-10-01,90.17482
2009-11-01,89.53803
2009-12-01,91.69080
2010-01-01,93.53371
2010-02-01,97.63595
2010-03-01,98.45754
2010-04-01,99.73274
2010-05-01,106.26315
2010-06-01,109.40604
2010-07-01,104.47527
2010-08-01,103.58870
2010-09-01,102.05239
2010-10-01,96.18647
2010-11-01,97.98390
2010-12-01,101.10035
2011-01-01,99.98177
2011-02-01,97.82298
2011-03-01,95.32683
2011-04-01,92.40772
2011-05-01,93.30816
2011-06-01,92.73736
2011-07-01,93.52099
2011-08-01,93.20097
2011-09-01,97.12162
2011-10-01,97.36972
2011-11-01,98.47576
2011-12-01,101.61518
2012-01-01,103.53405
2012-02-01,100.92582
2012-03-01,101.14760
2012-04-01,101.52380
2012-05-01,104.44015
2012-06-01,106.56850
2012-07-01,108.75629
2012-08-01,107.69864
2012-09-01,103.82127
2012-10-01,102.94740
2012-11-01,104.09878
2012-12-01,101.76554
2013-01-01,100.46143
2013-02-01,100.13412
2013-03-01,103.13963
2013-04-01,102.56854
2013-05-01,102.96151
2013-06-01,101.34126
2013-07-01,102.15032
2013-08-01,100.33658
2013-09-01,100.07617
2013-10-01,97.92393
2013-11-01,99.03994
2013-12-01,97.48396
2014-01-01,98.06792
2014-02-01,97.75565
