DATE,CCUSMA02HUM618N_NBD19680101
1995-12-01,231.63684
1996-01-01,236.53334
1996-02-01,240.66826
1996-03-01,243.40750
1996-04-01,247.91508
1996-05-01,253.21508
1996-06-01,254.65167
1996-07-01,255.30942
1996-08-01,256.41894
1996-09-01,260.80317
1996-10-01,265.18116
1996-11-01,265.42698
1996-12-01,272.65000
1997-01-01,276.46667
1997-02-01,288.27500
1997-03-01,294.22857
1997-04-01,299.13095
1997-05-01,302.30667
1997-06-01,308.25952
1997-07-01,319.11304
1997-08-01,329.56833
1997-09-01,326.48175
1997-10-01,326.62101
1997-11-01,326.57456
1997-12-01,335.54667
1998-01-01,343.17698
1998-02-01,346.25417
1998-03-01,350.53712
1998-04-01,352.73583
1998-05-01,350.68917
1998-06-01,359.51288
1998-07-01,363.09928
1998-08-01,367.52222
1998-09-01,367.65606
1998-10-01,359.58636
1998-11-01,362.60794
1998-12-01,361.84470
1999-01-01,359.90417
1999-02-01,371.40000
1999-03-01,388.05072
1999-04-01,392.83417
1999-05-01,392.05079
1999-06-01,399.95833
1999-07-01,403.46364
1999-08-01,398.30833
1999-09-01,404.73561
1999-10-01,400.94683
1999-11-01,410.83333
1999-12-01,418.77778
2000-01-01,418.46750
2000-02-01,433.54524
2000-03-01,443.77464
2000-04-01,454.22417
2000-05-01,476.13696
2000-06-01,455.84773
2000-07-01,461.09206
2000-08-01,479.88696
2000-09-01,502.55417
2000-10-01,512.78712
2000-11-01,514.90076
2000-12-01,492.50583
2001-01-01,470.49545
2001-02-01,480.67333
2001-03-01,487.67045
2001-04-01,498.59500
2001-05-01,492.61377
2001-06-01,483.31508
2001-07-01,481.93258
2001-08-01,464.55507
2001-09-01,467.05500
2001-10-01,469.16957
2001-11-01,471.43636
2001-12-01,462.31667
2002-01-01,459.80379
2002-02-01,466.31583
2002-03-01,464.97937
2002-04-01,456.15833
2002-05-01,443.03261
2002-06-01,424.05500
2002-07-01,413.32319
2002-08-01,418.10758
2002-09-01,414.57540
2002-10-01,413.50145
2002-11-01,396.62778
2002-12-01,387.20088
2003-01-01,378.04545
2003-02-01,379.12083
2003-03-01,379.25238
2003-04-01,377.05985
2003-05-01,354.04242
2003-06-01,372.48175
2003-07-01,386.00942
2003-08-01,387.53571
2003-09-01,379.51970
2003-10-01,363.78188
2003-11-01,369.50583
2003-12-01,359.58968
2004-01-01,348.87540
2004-02-01,346.48250
2004-03-01,344.13551
2004-04-01,346.81818
2004-05-01,350.90952
2004-06-01,346.98106
2004-07-01,339.59242
2004-08-01,340.25530
2004-09-01,337.82727
2004-10-01,328.96508
2004-11-01,315.36667
2004-12-01,305.97826
2005-01-01,312.60635
2005-02-01,312.51833
2005-03-01,309.48406
2005-04-01,319.17937
2005-05-01,330.54015
2005-06-01,341.31970
2005-07-01,340.96984
2005-08-01,331.16812
2005-09-01,334.31818
2005-10-01,348.99603
2005-11-01,354.59242
2005-12-01,354.84318
2006-01-01,344.94318
2006-02-01,351.47583
2006-03-01,361.75797
2006-04-01,360.52083
2006-05-01,342.59420
2006-06-01,358.84697
2006-07-01,364.17063
2006-08-01,357.01522
2006-09-01,359.37937
2006-10-01,352.06212
2006-11-01,334.59167
2006-12-01,320.67381
2007-01-01,325.59783
2007-02-01,322.61750
2007-03-01,313.91970
2007-04-01,303.45000
2007-05-01,306.76232
2007-06-01,310.57937
2007-07-01,300.27348
2007-08-01,312.43116
2007-09-01,303.54167
2007-10-01,294.08406
2007-11-01,288.72424
2007-12-01,289.91250
2008-01-01,289.92355
