DATE,CCUSMA02ESM618N_NBD19600101
1988-02-01,189.68590
1988-03-01,186.62440
1988-04-01,183.97923
1988-05-01,186.24576
1988-06-01,193.02689
1988-07-01,202.94243
1988-08-01,205.94912
1988-09-01,206.25137
1988-10-01,200.00880
1988-11-01,191.14200
1988-12-01,188.67287
1989-01-01,190.65076
1989-02-01,192.12845
1989-03-01,192.98056
1989-04-01,192.94851
1989-05-01,202.43973
1989-06-01,210.33885
1989-07-01,197.69595
1989-08-01,200.17919
1989-09-01,202.98561
1989-10-01,197.18130
1989-11-01,193.39191
1989-12-01,186.55730
1990-01-01,182.15396
1990-02-01,179.85240
1990-03-01,181.60958
1990-04-01,177.83232
1990-05-01,172.57538
1990-06-01,172.65277
1990-07-01,166.99676
1990-08-01,161.28661
1990-09-01,163.48305
1990-10-01,158.89985
1990-11-01,156.03897
1990-12-01,158.16964
1991-01-01,158.08910
1991-02-01,153.78839
1991-03-01,165.44583
1991-04-01,174.70888
1991-05-01,176.70736
1991-06-01,184.95074
1991-07-01,185.98885
1991-08-01,181.00858
1991-09-01,176.89751
1991-10-01,177.01775
1991-11-01,170.31699
1991-12-01,166.28731
1992-01-01,166.20726
1992-02-01,168.93214
1992-03-01,173.98980
1992-04-01,172.36231
1992-05-01,168.25341
1992-06-01,164.54291
1992-07-01,157.56266
1992-08-01,154.83363
1992-09-01,161.87500
1992-10-01,175.34626
1992-11-01,189.03822
1992-12-01,187.70717
1993-01-01,190.46725
1993-02-01,195.13797
1993-03-01,195.44354
1993-04-01,191.85643
1993-05-01,200.76508
1993-06-01,210.55906
1993-07-01,223.24946
1993-08-01,230.37286
1993-09-01,216.95424
1993-10-01,219.58629
1993-11-01,228.12843
1993-12-01,233.22395
1994-01-01,237.54874
1994-02-01,234.52677
1994-03-01,230.57729
1994-04-01,229.38939
1994-05-01,227.01194
1994-06-01,223.16028
1994-07-01,214.76312
1994-08-01,215.66920
1994-09-01,213.78945
1994-10-01,209.83699
1994-11-01,213.65377
1994-12-01,219.69041
1995-01-01,220.22333
1995-02-01,216.72058
1995-03-01,213.47275
1995-04-01,206.49084
1995-05-01,204.59765
1995-06-01,202.00463
1995-07-01,198.87454
1995-08-01,204.78580
1995-09-01,208.50029
1995-10-01,203.51338
1995-11-01,202.11241
1995-12-01,203.48830
1996-01-01,204.59864
1996-02-01,205.12508
1996-03-01,206.61739
1996-04-01,208.62982
1996-05-01,213.26185
1996-06-01,213.93792
1996-07-01,210.94268
1996-08-01,208.77962
1996-09-01,210.83424
1996-10-01,213.61939
1996-11-01,211.29275
1996-12-01,217.10603
1997-01-01,223.81044
1997-02-01,235.65040
1997-03-01,238.79742
1997-04-01,239.91657
1997-05-01,239.01647
1997-06-01,242.35331
1997-07-01,250.68670
1997-08-01,258.22030
1997-09-01,250.56132
1997-10-01,246.12675
1997-11-01,242.98089
1997-12-01,249.63996
1998-01-01,255.66116
1998-02-01,255.41521
1998-03-01,256.95916
1998-04-01,255.79634
1998-05-01,250.24595
1998-06-01,252.58720
1998-07-01,253.42536
1998-08-01,252.05595
1998-09-01,240.24804
1998-10-01,231.22496
1998-11-01,237.36208
1998-12-01,235.90116
1999-01-01,238.05436
1999-02-01,246.57979
1999-03-01,253.84958
1999-04-01,258.17444
1999-05-01,259.99018
1999-06-01,266.26986
1999-07-01,266.98455
1999-08-01,260.72385
1999-09-01,262.77194
1999-10-01,258.06935
1999-11-01,267.55538
1999-12-01,273.06847
2000-01-01,272.61436
2000-02-01,280.69155
2000-03-01,286.33879
2000-04-01,292.20714
2000-05-01,304.47611
2000-06-01,290.95741
2000-07-01,294.39126
2000-08-01,305.58963
2000-09-01,317.32185
2000-10-01,323.74482
2000-11-01,322.68820
2000-12-01,306.94609
2001-01-01,294.30808
2001-02-01,299.90945
2001-03-01,304.22898
2001-04-01,309.16429
2001-05-01,315.96631
2001-06-01,323.53457
2001-07-01,320.78560
2001-08-01,306.32338
2001-09-01,302.79694
2001-10-01,305.01228
2001-11-01,311.05654
2001-12-01,309.44475
2002-01-01,313.04265
2002-02-01,317.35729
2002-03-01,315.21216
2002-04-01,311.59881
2002-05-01,300.94257
2002-06-01,288.87031
2002-07-01,278.62416
2002-08-01,282.52505
2002-09-01,281.54793
2002-10-01,281.44489
2002-11-01,275.87263
2002-12-01,271.24685
2003-01-01,259.85120
2003-02-01,256.31047
2003-03-01,256.01634
2003-04-01,254.19438
2003-05-01,238.81644
2003-06-01,236.76951
2003-07-01,243.06583
2003-08-01,247.83657
2003-09-01,245.51312
2003-10-01,236.16423
2003-11-01,235.81396
2003-12-01,224.67676
2004-01-01,219.05103
2004-02-01,218.68475
2004-03-01,225.34578
2004-04-01,230.31548
2004-05-01,230.01230
2004-06-01,227.45808
2004-07-01,225.32277
2004-08-01,226.65880
2004-09-01,225.99889
2004-10-01,221.35120
2004-11-01,212.58969
2004-12-01,205.97716
2005-01-01,210.77736
2005-02-01,212.11519
2005-03-01,209.67313
2005-04-01,213.50459
2005-05-01,217.87938
2005-06-01,227.29230
2005-07-01,229.32553
2005-08-01,224.75445
2005-09-01,225.66638
2005-10-01,229.69679
2005-11-01,234.29040
2005-12-01,232.98573
2006-01-01,228.02533
2006-02-01,231.43212
2006-03-01,229.67126
2006-04-01,224.97611
2006-05-01,216.33024
2006-06-01,218.22199
2006-07-01,217.69149
2006-08-01,215.69333
2006-09-01,217.00520
2006-10-01,218.92046
2006-11-01,214.36829
2006-12-01,209.35699
2007-01-01,212.54450
2007-02-01,211.15195
2007-03-01,208.55252
2007-04-01,204.52896
2007-05-01,204.51851
2007-06-01,205.86566
2007-07-01,201.42632
2007-08-01,202.87151
2007-09-01,198.63043
2007-10-01,194.18976
2007-11-01,188.10008
2007-12-01,189.76719
2008-01-01,187.80339
2008-02-01,187.51684
2008-03-01,177.97518
2008-04-01,175.48704
2008-05-01,177.54630
2008-06-01,177.64558
2008-07-01,175.35323
2008-08-01,184.85614
2008-09-01,192.60558
2008-10-01,208.16289
2008-11-01,217.21287
2008-12-01,205.78716
2009-01-01,209.53126
2009-02-01,215.70694
2009-03-01,211.89754
2009-04-01,209.28508
2009-05-01,202.25096
2009-06-01,197.17109
2009-07-01,196.13709
2009-08-01,193.69829
2009-09-01,189.67913
2009-10-01,186.51404
2009-11-01,185.19693
2009-12-01,189.64964
2010-01-01,193.46144
2010-02-01,201.94635
2010-03-01,203.64570
2010-04-01,206.28328
2010-05-01,219.79052
2010-06-01,226.29115
2010-07-01,216.09253
2010-08-01,214.25879
2010-09-01,211.08115
2010-10-01,198.94831
