DATE,CCUSMA02FIM618N_NBD19600101
1970-11-01,131.45625
1970-12-01,131.73438
1971-01-01,131.73438
1971-02-01,131.73438
1971-03-01,131.73438
1971-04-01,131.70625
1971-05-01,131.66250
1971-06-01,131.66250
1971-07-01,131.66250
1971-08-01,131.66250
1971-09-01,131.13750
1971-10-01,131.30313
1971-11-01,131.45000
1971-12-01,131.01563
1972-01-01,129.79063
1972-02-01,129.67500
1972-03-01,129.55625
1972-04-01,129.73125
1972-05-01,129.75313
1972-06-01,129.47500
1972-07-01,130.01875
1972-08-01,130.10000
1972-09-01,130.12813
1972-10-01,132.62813
1972-11-01,130.08750
1972-12-01,130.20938
1973-01-01,130.32813
1973-02-01,126.73750
1973-03-01,121.68750
1973-04-01,120.69688
1973-05-01,121.07500
1973-06-01,117.07188
1973-07-01,113.12813
1973-08-01,113.11875
1973-09-01,115.62500
1973-10-01,115.57188
1973-11-01,117.16875
1973-12-01,119.72500
1974-01-01,124.17500
1974-02-01,122.41563
1974-03-01,119.20625
1974-04-01,116.92813
1974-05-01,115.07188
1974-06-01,114.33750
1974-07-01,114.80313
1974-08-01,117.03125
1974-09-01,118.80938
1974-10-01,118.60938
1974-11-01,116.54063
1974-12-01,113.30938
1975-01-01,110.60938
1975-02-01,108.92188
1975-03-01,109.44688
1975-04-01,111.28125
1975-05-01,110.82500
1975-06-01,110.23438
1975-07-01,114.50625
1975-08-01,118.04063
1975-09-01,120.40625
1975-10-01,120.40000
1975-11-01,120.50938
1975-12-01,120.72188
1976-01-01,119.97813
1976-02-01,119.69062
1976-03-01,119.95313
1976-04-01,120.22188
1976-05-01,121.11250
1976-06-01,121.82813
1976-07-01,121.34375
1976-08-01,121.27813
1976-09-01,121.21563
1976-10-01,120.60625
1976-11-01,119.93125
1976-12-01,118.74375
1977-01-01,118.83438
1977-02-01,119.39063
1977-03-01,118.79063
1977-04-01,125.98438
1977-05-01,127.38125
1977-06-01,127.41250
1977-07-01,125.47813
1977-08-01,125.95938
1977-09-01,130.26250
1977-10-01,129.43125
1977-11-01,130.34688
1977-12-01,128.47188
1978-01-01,125.61563
1978-02-01,126.72813
1978-03-01,129.93438
1978-04-01,130.80938
1978-05-01,133.50625
1978-06-01,133.60937
1978-07-01,131.20000
1978-08-01,128.39063
1978-09-01,127.10625
1978-10-01,122.69688
1978-11-01,125.22813
1978-12-01,125.14375
1979-01-01,123.77188
1979-02-01,124.08125
1979-03-01,124.16563
1979-04-01,125.15938
1979-05-01,125.10313
1979-06-01,123.50000
1979-07-01,120.02500
1979-08-01,119.86563
1979-09-01,119.27500
1979-10-01,117.98438
1979-11-01,118.32500
1979-12-01,116.44063
1980-01-01,115.37813
1980-02-01,116.10000
1980-03-01,120.32188
1980-04-01,119.11875
1980-05-01,115.23125
1980-06-01,113.82813
1980-07-01,112.84375
1980-08-01,114.28750
1980-09-01,113.95313
1980-10-01,115.14375
1980-11-01,118.01875
1980-12-01,120.64688
1981-01-01,121.46250
1981-02-01,127.04375
1981-03-01,126.76563
1981-04-01,129.52500
1981-05-01,134.78750
1981-06-01,138.63438
1981-07-01,141.76563
1981-08-01,144.32500
1981-09-01,140.43125
1981-10-01,137.86563
1981-11-01,135.16563
1981-12-01,136.38750
1982-01-01,137.57500
1982-02-01,140.90000
1982-03-01,142.67813
1982-04-01,144.28750
1982-05-01,140.79063
1982-06-01,146.13750
1982-07-01,147.76250
1982-08-01,148.47813
1982-09-01,150.00000
1982-10-01,166.54375
1982-11-01,172.63125
1982-12-01,167.03750
1983-01-01,165.97813
1983-02-01,168.07500
1983-03-01,170.10625
1983-04-01,169.70000
1983-05-01,169.98438
1983-06-01,172.97188
1983-07-01,174.49688
1983-08-01,178.46250
1983-09-01,178.32813
1983-10-01,176.13750
1983-11-01,179.65313
1983-12-01,182.90000
1984-01-01,185.40625
1984-02-01,180.92500
1984-03-01,175.23438
1984-04-01,176.45938
1984-05-01,181.67188
1984-06-01,181.94063
1984-07-01,188.19063
1984-08-01,189.53750
1984-09-01,195.96875
1984-10-01,199.05000
1984-11-01,195.52188
1984-12-01,201.29062
1985-01-01,207.18750
1985-02-01,214.22813
1985-03-01,213.73750
1985-04-01,201.07812
1985-05-01,201.62813
1985-06-01,198.93125
1985-07-01,190.11562
1985-08-01,185.52188
1985-09-01,188.09063
1985-10-01,177.64063
1985-11-01,174.12813
1985-12-01,171.32813
1986-01-01,169.30313
1986-02-01,163.96563
1986-03-01,160.15938
1986-04-01,159.66563
1986-05-01,159.25000
1986-06-01,162.07500
1986-07-01,158.29688
1986-08-01,154.45313
1986-09-01,153.41563
1986-10-01,152.86875
1986-11-01,154.67813
1986-12-01,153.27813
1987-01-01,144.80313
1987-02-01,142.31250
1987-03-01,140.65625
1987-04-01,137.95000
1987-05-01,135.89375
1987-06-01,138.11875
1987-07-01,139.97500
1987-08-01,140.62500
1987-09-01,137.09688
1987-10-01,135.98750
1987-11-01,129.13438
1987-12-01,126.09688
1988-01-01,125.95625
1988-02-01,128.53125
1988-03-01,126.48438
1988-04-01,124.99688
1988-05-01,126.00313
1988-06-01,130.15313
1988-07-01,136.89688
1988-08-01,139.43438
1988-09-01,138.11563
1988-10-01,134.59375
1988-11-01,129.46563
1988-12-01,129.18750
1989-01-01,132.70313
1989-02-01,134.13750
1989-03-01,134.19375
1989-04-01,130.93750
1989-05-01,135.72813
1989-06-01,138.35000
1989-07-01,133.45000
1989-08-01,135.68750
1989-09-01,137.67813
1989-10-01,133.62500
1989-11-01,132.76250
1989-12-01,128.79062
1990-01-01,125.08125
1990-02-01,123.31250
1990-03-01,125.64687
1990-04-01,124.75937
1990-05-01,122.58438
1990-06-01,123.62813
1990-07-01,119.92813
1990-08-01,115.73125
1990-09-01,115.87813
1990-10-01,113.06250
1990-11-01,111.26563
1990-12-01,112.57188
1991-01-01,113.83125
1991-02-01,112.22188
1991-03-01,119.70313
1991-04-01,124.66875
1991-05-01,126.11250
1991-06-01,132.04688
1991-07-01,134.04063
1991-08-01,132.35000
1991-09-01,129.14063
1991-10-01,128.76563
1991-11-01,130.54063
1991-12-01,132.76875
1992-01-01,134.17500
1992-02-01,138.21250
1992-03-01,141.60625
1992-04-01,140.49063
1992-05-01,137.56875
1992-06-01,133.96875
1992-07-01,127.83438
1992-08-01,124.54688
1992-09-01,138.45625
1992-10-01,147.00625
1992-11-01,157.95313
1992-12-01,160.36563
1993-01-01,169.95313
1993-02-01,183.18438
1993-03-01,186.85625
1993-04-01,174.95625
1993-05-01,171.67813
1993-06-01,173.75313
1993-07-01,180.60938
1993-08-01,182.18750
1993-09-01,180.83750
1993-10-01,179.76875
1993-11-01,181.29063
1993-12-01,180.21250
1994-01-01,177.98125
1994-02-01,174.50000
1994-03-01,172.89688
1994-04-01,171.58750
1994-05-01,168.99063
1994-06-01,169.40625
1994-07-01,162.43125
1994-08-01,160.59375
1994-09-01,155.20938
1994-10-01,146.16875
1994-11-01,147.46250
1994-12-01,151.36563
1995-01-01,147.90313
1995-02-01,144.99063
1995-03-01,136.89375
1995-04-01,133.43125
1995-05-01,135.25000
1995-06-01,134.22188
1995-07-01,132.70938
1995-08-01,134.46875
1995-09-01,136.60625
1995-10-01,133.38438
1995-11-01,132.51563
1995-12-01,135.29375
1996-01-01,138.85938
1996-02-01,142.25625
1996-03-01,143.83750
1996-04-01,147.78125
1996-05-01,148.60000
1996-06-01,145.90000
1996-07-01,143.39688
1996-08-01,139.92500
1996-09-01,141.81875
1996-10-01,142.73438
1996-11-01,142.14063
1996-12-01,144.84063
1997-01-01,148.95625
1997-02-01,155.35313
1997-03-01,158.20938
1997-04-01,160.21250
1997-05-01,160.44375
1997-06-01,161.65938
1997-07-01,165.85313
1997-08-01,172.04375
1997-09-01,167.15000
1997-10-01,164.43125
1997-11-01,163.10000
1997-12-01,167.78125
1998-01-01,171.72500
1998-02-01,171.84688
1998-03-01,173.14375
1998-04-01,172.12813
