DATE,CCUSMA02INM618N_NBD19600101
2008-05-01,884.62588
2008-06-01,899.22510
2008-07-01,899.59890
2008-08-01,901.68630
2008-09-01,956.83446
2008-10-01,1021.76652
2008-11-01,1029.07033
2008-12-01,1021.32552
2009-01-01,1025.51082
2009-02-01,1034.48413
2009-03-01,1075.80377
2009-04-01,1051.30095
2009-05-01,1019.21502
2009-06-01,1003.20040
2009-07-01,1018.04532
2009-08-01,1015.03601
2009-09-01,1017.21891
2009-10-01,981.14309
2009-11-01,977.94998
2009-12-01,979.23098
2010-01-01,965.15676
2010-02-01,972.88687
2010-03-01,955.42745
2010-04-01,934.49043
2010-05-01,962.04246
2010-06-01,977.85643
2010-07-01,983.56538
2010-08-01,977.91008
2010-09-01,967.23997
2010-10-01,932.65083
2010-11-01,945.34744
2010-12-01,948.34205
2011-01-01,953.28545
2011-02-01,954.17375
2011-03-01,944.78044
2011-04-01,931.73103
2011-05-01,943.00174
2011-06-01,941.88874
2011-07-01,932.73483
2011-08-01,950.84945
2011-09-01,1000.39900
2011-10-01,1034.39593
2011-11-01,1067.71037
2011-12-01,1106.01861
2012-01-01,1078.26918
2012-02-01,1032.43453
2012-03-01,1056.78406
2012-04-01,1087.86199
2012-05-01,1143.94464
2012-06-01,1176.63538
2012-07-01,1165.39196
2012-08-01,1166.75697
2012-09-01,1146.71665
2012-10-01,1113.50301
2012-11-01,1150.29295
2012-12-01,1147.60495
2013-01-01,1140.65394
2013-02-01,1129.24883
2013-03-01,1142.49774
2013-04-01,1141.89084
2013-05-01,1155.22795
2013-06-01,1226.34453
2013-07-01,1255.28465
2013-08-01,1327.38707
2013-09-01,1338.79544
2013-10-01,1293.92889
2013-11-01,1315.29431
2013-12-01,1300.11760
2014-01-01,1303.59730
2014-02-01,1307.33531
2014-03-01,1281.29528
2014-04-01,1267.49036
2014-05-01,1245.40624
2014-06-01,1254.34595
2014-07-01,1261.23186
2014-08-01,1278.80048
2014-09-01,1278.16418
2014-10-01,1288.18329
2014-11-01,1295.78949
2014-12-01,1317.81327
2015-01-01,1306.74581
2015-02-01,1302.79114
2015-03-01,1311.44791
2015-04-01,1317.81770
2015-05-01,1339.80819
2015-06-01,1341.07680
2015-07-01,1336.33588
2015-08-01,1366.52030
2015-09-01,1390.57540
2015-10-01,1366.21947
2015-11-01,1388.46037
2015-12-01,1398.50720
2016-01-01,1412.30034
2016-02-01,1432.99240
2016-03-01,1407.46026
2016-04-01,1395.86155
2016-05-01,1405.04277
2016-06-01,1413.23555
2016-07-01,1411.36154
2016-08-01,1405.73390
2016-09-01,1401.49373
2016-10-01,1401.70287
2016-11-01,1420.14032
2016-12-01,1425.91052
2017-01-01,1429.68913
2017-02-01,1408.58586
2017-03-01,1383.41118
2017-04-01,1354.65022
2017-05-01,1352.92295
2017-06-01,1353.30415
2017-07-01,1353.57485
2017-08-01,1343.33743
2017-09-01,1353.26125
2017-10-01,1366.70833
2017-11-01,1362.11625
2017-12-01,1349.09009
2018-01-01,1336.37614
2018-02-01,1351.85197
2018-03-01,1365.44933
2018-04-01,1378.36467
2018-05-01,1418.32796
2018-06-01,1423.65582
2018-07-01,1442.56198
2018-08-01,1460.47817
2018-09-01,1516.52247
2018-10-01,1546.27995
2018-11-01,1508.94052
2018-12-01,1485.35395
2019-01-01,1485.39175
2019-02-01,1495.65863
2019-03-01,1459.05305
2019-04-01,1457.97697
2019-05-01,1465.23704
2019-06-01,1458.21758
2019-07-01,1444.97584
2019-08-01,1494.06109
2019-09-01,1498.00842
2019-10-01,1491.82989
2019-11-01,1500.48709
2019-12-01,1495.04619
2020-01-01,1497.59093
2020-02-01,1501.26035
2020-03-01,1561.36626
2020-04-01,1600.96785
2020-05-01,1588.85902
