DATE,CCUSMA02ITM618N
1975-06-01,0.322944424073089
1975-07-01,0.334797678009782
1975-08-01,0.345037468948029
1975-09-01,0.349987605034422
1975-10-01,0.350206272885496
1975-11-01,0.350382436333776
1975-12-01,0.352650250223368
1976-01-01,0.362236464955817
1976-02-01,0.395990486863919
1976-03-01,0.426310483558595
1976-04-01,0.453928067883095
1976-05-01,0.442271532379265
1976-06-01,0.438387414978283
1976-07-01,0.432567875347963
1976-08-01,0.432911783997067
1976-09-01,0.435969415422436
1976-10-01,0.441574315565494
1976-11-01,0.446968811167864
1976-12-01,0.448033332128267
1977-01-01,0.453968093292774
1977-02-01,0.455733188036792
1977-03-01,0.45772004937328
1977-04-01,0.458186358307467
1977-05-01,0.457650895794492
1977-06-01,0.457097202352978
1977-07-01,0.4557572032826
1977-08-01,0.455637075407872
