DATE,CCUSMA02ATM618N
1975-06-01,1.20338946098559
1975-07-01,1.26503782621018
1975-08-01,1.32024011104409
1975-09-01,1.3423253853477
1975-10-01,1.3298547270045
1975-11-01,1.33103929420143
1975-12-01,1.34533404068225
1976-01-01,1.33665690428261
1976-02-01,1.32889544559348
1976-03-01,1.33552320806959
1976-04-01,1.32141014367419
1976-05-01,1.3331468063923
1976-06-01,1.33997078552066
1976-07-01,1.33203491202953
1976-08-01,1.30467358996534
1976-09-01,1.28418711801342
1976-10-01,1.25348284557749
1976-11-01,1.24477664004418
1976-12-01,1.22943540475135
1977-01-01,1.23399199145367
1977-02-01,1.24187699396089
1977-03-01,1.23402106058734
1977-04-01,1.22474073966411
1977-05-01,1.21962457213869
1977-06-01,1.21728450687848
1977-07-01,1.17748886288816
1977-08-01,1.19493034308845
1977-09-01,1.20290255299666
1977-10-01,1.18073733857547
1977-11-01,1.16127555358531
1977-12-01,1.12126189109249
1978-01-01,1.10502677993939
1978-02-01,1.08385718334629
1978-03-01,1.06409743973605
1978-04-01,1.06730957900627
1978-05-01,1.10839153216136
1978-06-01,1.08929311134205
1978-07-01,1.07558701481799
1978-08-01,1.04799313968445
1978-09-01,1.03599485476334
1978-10-01,0.98012397985509
1978-11-01,1.01290669534821
1978-12-01,1.0009084104271
1979-01-01,0.982878280270052
1979-02-01,0.987761894726132
1979-03-01,0.990930430295851
1979-04-01,1.0104358189865
1979-05-01,1.02038472998408
1979-06-01,1.00877887836748
1979-07-01,0.973714235881485
1979-08-01,0.971526783573032
1979-09-01,0.942610262857641
1979-10-01,0.935713610895111
1979-11-01,0.926527764656294
1979-12-01,0.90738574013648
1980-01-01,0.899980378334775
1980-02-01,0.910379860904196
1980-03-01,0.962355471901049
1980-04-01,0.974382825955829
1980-05-01,0.928737018814997
1980-06-01,0.914391401350261
1980-07-01,0.901230351082462
1980-08-01,0.922065652638387
1980-09-01,0.92040871201936
1980-10-01,0.946483724918788
1980-11-01,0.98885198723865
1980-12-01,1.01566099576317
1981-01-01,1.03405449009106
1981-02-01,1.10690900634434
1981-03-01,1.08301417846995
1981-04-01,1.1077592785041
1981-05-01,1.17713276600074
1981-06-01,1.2182437882895
1981-07-01,1.24815592683299
1981-08-01,1.27578613838361
1981-09-01,1.20461763188303
1981-10-01,1.14538927203622
1981-11-01,1.13482264194821
1981-12-01,1.15054904326214
1982-01-01,1.16827394751568
1982-02-01,1.20634724533622
1982-03-01,1.21399242749068
1982-04-01,1.22423202982493
1982-05-01,1.18047571637246
1982-06-01,1.24434060303918
1982-07-01,1.26039403210686
1982-08-01,1.26696365631563
1982-09-01,1.27908548505483
1982-10-01,1.29189043843521
1982-11-01,1.30361256658648
1982-12-01,1.23713872517314
1983-01-01,1.22030042949645
1983-02-01,1.23923170279718
1983-03-01,1.23065630836537
1983-04-01,1.24628096771146
1983-05-01,1.26287217575198
1983-06-01,1.30505875598642
1983-07-01,1.32243483063596
1983-08-01,1.36780448100695
1983-09-01,1.36297173753479
1983-10-01,1.32970211405275
1983-11-01,1.37353110033938
1983-12-01,1.40857394097512
1984-01-01,1.43624775622624
1984-02-01,1.385834611164
1984-03-01,1.32865562524073
1984-04-01,1.35074816682776
