DATE,CCUSMA02DEM618N
1975-06-01,1.19688316469223
1975-07-01,1.26217513792098
1975-08-01,1.31565626869411
1975-09-01,1.33753956120931
1975-10-01,1.31892853673377
1975-11-01,1.32245645071402
1975-12-01,1.34106747518956
1976-01-01,1.33104615431812
1976-02-01,1.30895834505044
1976-03-01,1.30788463209993
1976-04-01,1.29704524421857
1976-05-01,1.31100351257522
1976-06-01,1.31785482378325
1976-07-01,1.31621868976343
1976-08-01,1.29280152160464
1976-09-01,1.27383259281226
1976-10-01,1.24412653451476
1976-11-01,1.23318488825716
1976-12-01,1.21886871558367
1977-01-01,1.22265227550452
1977-02-01,1.22919681158383
1977-03-01,1.22275453388076
1977-04-01,1.21329563407863
1977-05-01,1.20588190180128
1977-06-01,1.20399012184086
1977-07-01,1.16804630259276
1977-08-01,1.18389635090984
1977-09-01,1.18798668595941
1977-10-01,1.16446725942439
1977-11-01,1.14590736413696
1977-12-01,1.10024899914614
1978-01-01,1.08184249142308
1978-02-01,1.06103291185839
1978-03-01,1.03935413609567
1978-04-01,1.04370011708584
1978-05-01,1.07739425205667
1978-06-01,1.0654811512248
1978-07-01,1.05009126560079
1978-08-01,1.02120327431321
1978-09-01,1.00775629783775
1978-10-01,0.941543999222836
1978-11-01,0.973141837480763
1978-12-01,0.961791157718206
1979-01-01,0.94507191320309
1979-02-01,0.949724669321976
1979-03-01,0.950849511460608
1979-04-01,0.968949244054954
1979-05-01,0.975493780134265
1979-06-01,0.961842286906326
1979-07-01,0.932749778866261
1979-08-01,0.935408496648482
1979-09-01,0.917717797559092
1979-10-01,0.914905692212514
1979-11-01,0.906315988608417
1979-12-01,0.886580121994243
1980-01-01,0.88156946155852
1980-02-01,0.893380304014153
1980-03-01,0.946247884529842
1980-04-01,0.956627109718125
1980-05-01,0.915263596529351
1980-06-01,0.903350495697479
1980-07-01,0.893431433202272
1980-08-01,0.915723759222427
1980-09-01,0.915007950588753
1980-10-01,0.940777061401042
1980-11-01,0.980760086510586
1980-12-01,1.00734726433279
1981-01-01,1.02672522663013
1981-02-01,1.0975391521758
1981-03-01,1.07718973530419
1981-04-01,1.10495288445315
1981-05-01,1.17172760413737
1981-06-01,1.21518741403905
1981-07-01,1.24750106093065
1981-08-01,1.27894551162422
1981-09-01,1.20439915534581
1981-10-01,1.15009995756277
1981-11-01,1.13276716279022
1981-12-01,1.15475271368166
1982-01-01,1.17193212088985
1982-02-01,1.20992110766273
1982-03-01,1.2163633853658
1982-04-01,1.22612906029665
1982-05-01,1.18082859962267
1982-06-01,1.2411099124157
1982-07-01,1.26033448714868
