DATE,CCUSMA02NZM618N
2000-08-01,2.24104782608696
2000-09-01,2.4001
2000-10-01,2.49718181818182
2000-11-01,2.50811363636364
2000-12-01,2.32875
2001-01-01,2.25371363636364
2001-02-01,2.30075
2001-03-01,2.3911
2001-04-01,2.463
2001-05-01,2.37304782608696
2001-06-01,2.41375714285714
2001-07-01,2.45063181818182
2001-08-01,2.3216347826087
2001-09-01,2.390555
2001-10-01,2.41653913043478
2001-11-01,2.40364545454545
2001-12-01,2.40213888888889
2002-01-01,2.35803636363636
2002-02-01,2.390165
2002-03-01,2.31320476190476
2002-04-01,2.26731818181818
2002-05-01,2.17100869565217
2002-06-01,2.04527
2002-07-01,2.07785652173913
2002-08-01,2.15625454545455
2002-09-01,2.1238380952381
2002-10-01,2.07816086956522
2002-11-01,2.01484761904762
2002-12-01,1.96389473684211
2003-01-01,1.85211363636364
2003-02-01,1.80551
2003-03-01,1.80698095238095
2003-04-01,1.81303636363636
2003-05-01,1.73897272727273
2003-06-01,1.7229877907619
2003-07-01,1.70565217391304
2003-08-01,1.71909523809524
2003-09-01,1.71457272727273
2003-10-01,1.66488695652174
2003-11-01,1.59145
2003-12-01,1.54691428571429
2004-01-01,1.48709047619048
2004-02-01,1.445935
2004-03-01,1.51244347826087
2004-04-01,1.56
2004-05-01,1.6213380952381
2004-06-01,1.58982727272727
2004-07-01,1.54854090909091
2004-08-01,1.5297
2004-09-01,1.51949545454545
2004-10-01,1.46404285714286
2004-11-01,1.42944090909091
2004-12-01,1.40030826086957
2005-01-01,1.41775238095238
2005-02-01,1.39865
2005-03-01,1.37202608695652
2005-04-01,1.3888
2005-05-01,1.39140909090909
2005-06-01,1.41290909090909
2005-07-01,1.4741380952381
2005-08-01,1.43855652173913
2005-09-01,1.43043181818182
2005-10-01,1.43298095238095
2005-11-01,1.45017727272727
2005-12-01,1.44204545454545
2006-01-01,1.45413636363636
2006-02-01,1.4861
2006-03-01,1.57813043478261
2006-04-01,1.6083
2006-05-01,1.58360869565217
2006-06-01,1.61704545454545
2006-07-01,1.62104761904762
2006-08-01,1.57660869565217
2006-09-01,1.52809523809524
2006-10-01,1.51081818181818
2006-11-01,1.49390909090909
2006-12-01,1.44185714285714
2007-01-01,1.43882608695652
2007-02-01,1.4413
2007-03-01,1.43063636363636
2007-04-01,1.36157142857143
2007-05-01,1.36486956521739
2007-06-01,1.32171428571429
2007-07-01,1.27213636363636
2007-08-01,1.38007391304348
2007-09-01,1.39195
2007-10-01,1.31713043478261
2007-11-01,1.31081818181818
2007-12-01,1.30065
2008-01-01,1.29563147730435
2008-02-01,1.25542876880952
2008-03-01,1.24997968304762
2008-04-01,1.26806593013636
2008-05-01,1.284993813
2008-06-01,1.31388838804762
2008-07-01,1.32515558604348
2008-08-01,1.40939935038095
2008-09-01,1.48325340313636
2008-10-01,1.64965217391304
2008-11-01,1.77315
2008-12-01,1.7971
2009-01-01,1.82715
2009-02-01,1.9385526569
2009-03-01,1.88082727272727
2009-04-01,1.74906818181818
2009-05-01,1.66311904761905
2009-06-01,1.56665909090909
2009-07-01,1.55267391304348
2009-08-01,1.47838571428571
2009-09-01,1.42151818181818
2009-10-01,1.35465
2009-11-01,1.37097142857143
2009-12-01,1.39654347826087
2010-01-01,1.37592380952381
2010-02-01,1.43437
2010-03-01,1.4215652173913
2010-04-01,1.40455909090909
2010-05-01,1.43622380952381
2010-06-01,1.44626818181818
2010-07-01,1.40382272727273
2010-08-01,1.40030909090909
2010-09-01,1.37076363636364
2010-10-01,1.33038571428571
2010-11-01,1.29599545454545
2010-12-01,1.33063913043478
2011-01-01,1.3067619047619
2011-02-01,1.312345
2011-03-01,1.34881739130435
2011-04-01,1.26725714285714
2011-05-01,1.25621363636364
2011-06-01,1.22717727272727
2011-07-01,1.1818380952381
2011-08-01,1.19375217391304
2011-09-01,1.23216818181818
2011-10-01,1.27332380952381
2011-11-01,1.29876363636364
2011-12-01,1.29893636363636
2012-01-01,1.25046363636364
2012-02-01,1.19748571428571
2012-03-01,1.21972727272727
2012-04-01,1.22340476190476
2012-05-01,1.29227391304348
2012-06-01,1.28178095238095
2012-07-01,1.25229545454545
2012-08-01,1.23420434782609
2012-09-01,1.222275
2012-10-01,1.21992173913043
2012-11-01,1.2211
2012-12-01,1.20384761904762
2013-01-01,1.1953652173913
2013-02-01,1.192615
2013-03-01,1.20697619047619
2013-04-01,1.18002272727273
2013-05-01,1.21606363636364
2013-06-01,1.265842
2013-07-01,1.26844391304348
2013-08-01,1.26377636363636
2013-09-01,1.2288419047619
2013-10-01,1.19842826086957
2013-11-01,1.21172285714286
2013-12-01,1.21656318181818
2014-01-01,1.20842608695652
2014-02-01,1.2052395
2014-03-01,1.17140380952381
2014-04-01,1.16202772727273
2014-05-01,1.16264181818182
2014-06-01,1.16052476190476
2014-07-01,1.15105347826087
2014-08-01,1.1852119047619
2014-09-01,1.22835
2014-10-01,1.27027260869565
2014-11-01,1.2765445
2014-12-01,1.28828217391304
2015-01-01,1.30892272727273
2015-02-01,1.3420155
2015-03-01,1.34075681818182
2015-04-01,1.31784909090909
2015-05-01,1.3552619047619
2015-06-01,1.43304954545455
2015-07-01,1.50377913043478
2015-08-01,1.52803714285714
2015-09-01,1.57912545454545
2015-10-01,1.49440454545455
2015-11-01,1.52588476190476
2015-12-01,1.48185347826087
2016-01-01,1.53024571428571
2016-02-01,1.50817428571429
2016-03-01,1.48346782608696
2016-04-01,1.45149571428571
2016-05-01,1.47081681818182
2016-06-01,1.42007181818182
2016-07-01,1.40199523809524
2016-08-01,1.38192173913043
2016-09-01,1.36804636363636
2016-10-01,1.39862
2016-11-01,1.40053909090909
2016-12-01,1.42291454545455
2017-01-01,1.40410636363636
2017-02-01,1.3843945
2017-03-01,1.42771043478261
2017-04-01,1.434942
2017-05-01,1.43854869565217
2017-06-01,1.38258681818182
2017-07-01,1.36009142857143
2017-08-01,1.36943913043478
2017-09-01,1.37854380952381
2017-10-01,1.420725
2017-11-01,1.45206454545455
2017-12-01,1.43566428571429
2018-01-01,1.37752
2018-02-01,1.3684565
2018-03-01,1.37884545454545
2018-04-01,1.38036238095238
2018-05-01,1.4388247826087
2018-06-01,1.44093047619048
2018-07-01,1.47351409090909
2018-08-01,1.4990547826087
2018-09-01,1.5156575
2018-10-01,1.53067173913043
2018-11-01,1.47554636363636
2018-12-01,1.46808285714286
2019-01-01,1.47555
2019-02-01,1.4632625
2019-03-01,1.46341142857143
2019-04-01,1.48941909090909
2019-05-01,1.52422217391304
2019-06-01,1.515114
2019-07-01,1.49739347826087
2019-08-01,1.55419090909091
2019-09-01,1.57620333333333
2019-10-01,1.57895652173913
2019-11-01,1.5635419047619
2019-12-01,1.51496227272727
2020-01-01,1.51376826086957
2020-02-01,1.564734
2020-03-01,1.65378590909091
2020-04-01,1.66274318181818
2020-05-01,1.64275761904762
2020-06-01,1.5514
2020-07-01,1.51728739130435
2020-08-01,1.51542523809524
2020-09-01,1.50063409090909
2020-10-01,1.50642
2020-11-01,1.45585476190476
2020-12-01,1.41018130434783
2021-01-01,1.39089476190476
2021-02-01,1.3808235
2021-03-01,1.40214260869565
2021-04-01,1.40321636363636
2021-05-01,1.38352571428571
2021-06-01,1.40764318181818
2021-07-01,1.43282636363636
2021-08-01,1.43342136363636
2021-09-01,1.41769545454545
2021-10-01,1.4170019047619
2021-11-01,1.42651409090909
2021-12-01,1.47272086956522
2022-01-01,1.48319142857143
2022-02-01,1.4976905
2022-03-01,1.45602347826087
2022-04-01,1.48059904761905
2022-05-01,1.56232045454545
2022-06-01,1.57548818181818
2022-07-01,1.61401095238095
2022-08-01,1.59595739130435
2022-09-01,1.68847409090909
2022-10-01,1.75696285714286
2022-11-01,1.64786818181818
2022-12-01,1.57496090909091
2023-01-01,1.56349681818182
2023-02-01,1.590391
2023-03-01,1.61094173913043
2023-04-01,1.610485
2023-05-01,1.61029130434783
2023-06-01,1.63017681818182
2023-07-01,1.60527523809524
2023-08-01,1.66825956521739
2023-09-01,1.6865080952381
2023-10-01,1.69650954545455
2023-11-01,1.66693863636364
2023-12-01,1.60660619047619
