DATE,CCUSMA02NLM618N
1975-06-01,1.09315654056114
1975-07-01,1.1578655993756
1975-08-01,1.19902346497497
1975-09-01,1.21817299009398
1975-10-01,1.20551252206506
1975-11-01,1.20483185174093
1975-12-01,1.21908055052616
1976-01-01,1.21236460332802
1976-02-01,1.20809906929678
1976-03-01,1.221304073585
1976-04-01,1.21898979448294
1976-05-01,1.23351076139782
1976-06-01,1.24431073054077
1976-07-01,1.23804856355873
1976-08-01,1.21413434617078
1976-09-01,1.18291426730377
1976-10-01,1.15609585653285
1976-11-01,1.14343538850393
1976-12-01,1.12709930072469
1977-01-01,1.13504045450626
1977-02-01,1.13971439073199
1977-03-01,1.13240852925294
1977-04-01,1.12169931615321
1977-05-01,1.11466572280382
1977-06-01,1.12487577766585
1977-07-01,1.10899347010269
1977-08-01,1.11108085909671
1977-09-01,1.11775142827323
1977-10-01,1.10581700859006
1977-11-01,1.09769434272205
1977-12-01,1.05748941557646
1978-01-01,1.03035335865427
1978-02-01,1.01016013903826
1978-03-01,0.987108104060879
1978-04-01,0.989013980968458
1978-05-01,1.02313825321844
1978-06-01,1.01419878296146
1978-07-01,1.00603073907184
1978-08-01,0.982887948051241
1978-09-01,0.971271174519333
1978-10-01,0.910646137649691
1978-11-01,0.932427588022018
1978-12-01,0.925983908953538
1979-01-01,0.904973884948564
1979-02-01,0.910146979411992
1979-03-01,0.911417564017044
1979-04-01,0.929205748487777
1979-05-01,0.942683020905654
1979-06-01,0.937872950615099
1979-07-01,0.910782271714518
1979-08-01,0.910963783800954
1979-09-01,0.897168865231814
1979-10-01,0.90057221685249
1979-11-01,0.896987353145378
1979-12-01,0.870577344568932
1980-01-01,0.863770641327579
1980-02-01,0.874026074211216
1980-03-01,0.921309972727809
1980-04-01,0.932926746259716
1980-05-01,0.895626012497107
1980-06-01,0.880378997236478
1980-07-01,0.867219370969864
1980-08-01,0.884644531267726
1980-09-01,0.88305630051141
1980-10-01,0.906017579445571
1980-11-01,0.943272935186572
1980-12-01,0.971361930562551
1981-01-01,0.989649273270984
1981-02-01,1.06025747489461
1981-03-01,1.05862386611668
1981-04-01,1.08653134940623
1981-05-01,1.15673114883537
1981-06-01,1.19888733091015
1981-07-01,1.23028892186358
1981-08-01,1.26069219634162
1981-09-01,1.18686215518376
1981-10-01,1.12991273806445
1981-11-01,1.10745061736798
1981-12-01,1.1231514128447
1982-01-01,1.14044043907774
1982-02-01,1.17783192888356
1982-03-01,1.18731593539985
