Date,Iron
2020-11-01,879.17302
2020-12-01,1089.43215
2021-01-01,1186.74801
2021-02-01,1155.33808
2021-03-01,1186.75538
2021-04-01,1268.68327
2021-05-01,1443.82308
2021-06-01,1536.05544
2021-07-01,1525.55807
2021-08-01,1153.67195
2021-09-01,809.38612
2021-10-01,814.77716
2021-11-01,641.50590
2021-12-01,786.16741
2022-01-01,946.94274
2022-02-01,994.30605
2022-03-01,1048.73898
2022-04-01,1043.89087
2022-05-01,933.03138
2022-06-01,932.70786
2022-07-01,776.13964
2022-08-01,776.26489
2022-09-01,717.72889
2022-10-01,673.44518
2022-11-01,673.08314
2022-12-01,792.94727
2023-01-01,871.40084
2023-02-01,904.44840
2023-03-01,910.87730
2023-04-01,833.62989
2023-05-01,743.92697
2023-06-01,804.91750
2023-07-01,811.21844
2023-08-01,780.13307
2023-09-01,857.14286
2023-10-01,845.19573
2023-11-01,934.16370
