DATE,PURANUSDM_NBD19900101
2016-11-01,206.31313
2016-12-01,213.51010
2017-01-01,246.33838
2017-02-01,279.44444
2017-03-01,273.79227
2017-04-01,258.33333
2017-05-01,240.45894
2017-06-01,219.44444
2017-07-01,226.26984
2017-08-01,226.73913
2017-09-01,226.98413
2017-10-01,224.82323
2017-11-01,248.28283
2017-12-01,274.33862
2018-01-01,259.66184
2018-02-01,241.80556
2018-03-01,241.41414
2018-04-01,231.61376
2018-05-01,244.20290
2018-06-01,256.34921
2018-07-01,260.17677
2018-08-01,289.42029
2018-09-01,301.19444
2018-10-01,305.65217
2018-11-01,321.48990
2018-12-01,319.57672
2019-01-01,319.00966
2019-02-01,318.27778
2019-03-01,302.24868
2019-04-01,285.60606
2019-05-01,274.27536
2019-06-01,271.94444
2019-07-01,280.31401
2019-08-01,280.93434
2019-09-01,282.35450
2019-10-01,276.85990
2019-11-01,277.64550
2019-12-01,284.72222
2020-01-01,273.79227
2020-02-01,274.30556
2020-03-01,274.01515
2020-04-01,332.92929
2020-05-01,372.35450
2020-06-01,367.65152
2020-07-01,359.56522
2020-08-01,348.62434
2020-09-01,333.13131
2020-10-01,329.29293
2020-11-01,327.61905
2020-12-01,330.82126
2021-01-01,331.74603
2021-02-01,318.47222
2021-03-01,314.83092
2021-04-01,330.58081
2021-05-01,336.19048
2021-06-01,357.13450
2021-07-01,359.31818
2021-08-01,357.19697
2021-09-01,500.86806
2021-10-01,427.51323
2021-11-01,345.55093
2021-12-01,401.43670
2022-01-01,409.69912
2022-02-01,398.13238
2022-03-01,505.71890
2022-04-01,541.16368
2022-05-01,454.35140
2022-06-01,448.12797
2022-07-01,432.65732
2022-08-01,442.24787
2022-09-01,455.00435
2022-10-01,458.92886
2022-11-01,455.04516
2022-12-01,435.31382
2023-01-01,445.14889
2023-02-01,459.04857
2023-03-01,452.68359
2023-04-01,464.02242
2023-05-01,482.91851
2023-06-01,507.78315
2023-07-01,502.75038
2023-08-01,515.30201
2023-09-01,591.14158
2023-10-01,640.51570
2023-11-01,692.06613
