DATE,PALUMUSDM_NBD19900101
2016-07-01,106.61306
2016-08-01,107.28299
2016-09-01,104.21228
2016-10-01,109.02518
2016-11-01,113.68545
2016-12-01,113.07183
2017-01-01,117.22762
2017-02-01,121.77683
2017-03-01,124.44158
2017-04-01,125.73444
2017-05-01,125.19789
2017-06-01,123.38262
2017-07-01,124.53955
2017-08-01,132.85415
2017-09-01,137.20472
2017-10-01,139.49533
2017-11-01,137.26708
2017-12-01,136.15665
2018-01-01,144.61566
2018-02-01,142.78714
2018-03-01,135.42134
2018-04-01,147.55808
2018-05-01,150.50175
2018-06-01,146.44104
2018-07-01,136.27216
2018-08-01,134.26121
2018-09-01,132.62189
2018-10-01,132.84416
2018-11-01,126.86593
2018-12-01,125.67942
2019-01-01,121.31649
2019-02-01,121.92327
2019-03-01,122.46167
2019-04-01,120.77389
2019-05-01,116.57473
2019-06-01,114.91819
2019-07-01,117.60400
2019-08-01,113.91875
2019-09-01,114.75863
2019-10-01,112.95527
2019-11-01,116.15090
2019-12-01,115.92801
2020-01-01,116.03998
2020-02-01,110.47742
2020-03-01,105.42480
2020-04-01,95.54545
2020-05-01,95.96673
2020-06-01,102.65513
2020-07-01,107.57933
2020-08-01,113.77979
2020-09-01,114.12137
2020-10-01,118.20038
2020-11-01,126.65467
2020-12-01,131.85026
2021-01-01,131.15023
2021-02-01,136.03361
2021-03-01,143.35619
2021-04-01,151.79270
2021-05-01,159.34401
2021-06-01,160.12078
2021-07-01,163.45782
2021-08-01,170.35287
2021-09-01,185.50765
2021-10-01,192.04148
2021-11-01,172.54269
2021-12-01,176.40912
2022-01-01,196.72647
2022-02-01,212.42052
2022-03-01,228.95112
2022-04-01,212.49938
2022-05-01,185.83151
2022-06-01,168.56476
2022-07-01,157.61933
2022-08-01,159.28770
2022-09-01,145.59921
2022-10-01,147.61356
2022-11-01,153.84269
2022-12-01,156.95071
2023-01-01,163.27886
2023-02-01,158.12706
2023-03-01,150.28907
2023-04-01,153.01904
2023-05-01,148.82281
2023-06-01,142.98126
2023-07-01,141.34374
2023-08-01,139.76320
2023-09-01,142.97603
2023-10-01,143.61197
2023-11-01,144.12667
