Date,Sweden
1984-01-01,8.16703722695454
1984-02-01,8.00369687309524
1984-03-01,7.73353032627273
1984-04-01,7.83561686905882
1984-05-01,8.08193572361111
1984-06-01,8.10350438163158
1984-07-01,8.30938755381818
1984-08-01,8.35594307290909
1984-09-01,8.57073378555
1984-10-01,8.68483385830435
1984-11-01,8.57038229990476
1984-12-01,8.86085441377778
1985-01-01,9.06266630257143
1985-02-01,9.33787970535
1985-03-01,9.40764354523809
1985-04-01,8.9631796361
1985-05-01,8.98561829021053
1985-06-01,8.85695452447368
1985-07-01,8.47861024608696
1985-08-01,8.30182665866667
1985-09-01,8.39668024157143
1985-10-01,7.9535563303913
1985-11-01,7.80371774942857
1985-12-01,7.67862902189474
1986-01-01,7.59256538472727
1986-02-01,7.3937037707
1986-03-01,7.23479060115789
1986-04-01,7.22824155719048
1986-05-01,7.143812418
1986-06-01,7.20649950505
1986-07-01,7.05824238609091
1986-08-01,6.93971428885
1986-09-01,6.90879464140909
1986-10-01,6.89780811831818
1986-11-01,6.96326363721053
1986-12-01,6.915710901
1987-01-01,6.60938900985714
1987-02-01,6.5040464162
1987-03-01,6.41208095986364
1987-04-01,6.3110470533
1987-05-01,6.24922842726316
1987-06-01,6.34074113094444
1987-07-01,6.43569649354545
1987-08-01,6.48695473452381
1987-09-01,6.37538255336364
1987-10-01,6.35186292913636
1987-11-01,6.06832491726316
1987-12-01,5.9383178892381
1988-01-01,5.96758677965
1988-02-01,6.05004281085714
1988-03-01,5.94838986186957
1988-04-01,5.88209967868421
1988-05-01,5.9020785332
1988-06-01,6.0937258006
1988-07-01,6.34396605257143
1988-08-01,6.47627886486957
1988-09-01,6.43816189331818
1988-10-01,6.27154804404762
1988-11-01,6.08591079704762
1988-12-01,6.08532930552381
1989-01-01,6.2618603468
1989-02-01,6.3174180029
1989-03-01,6.3775004432381
1989-04-01,6.3618720769
1989-05-01,6.58340790389474
1989-06-01,6.68990015981818
1989-07-01,6.46541409271429
1989-08-01,6.53887042127273
1989-09-01,6.59678797490476
1989-10-01,6.45012515236364
1989-11-01,6.42233492080952
1989-12-01,6.28922733515789
1990-01-01,6.17099048990476
1990-02-01,6.11697777111111
1990-03-01,6.16057268059091
1990-04-01,6.11790526547368
1990-05-01,6.05260472066667
1990-06-01,6.08959474052632
1990-07-01,5.94835459095455
1990-08-01,5.77727825743478
1990-09-01,5.7653049946
1990-10-01,5.64231744026087
1990-11-01,5.56488570719048
1990-12-01,5.61364438788889
1991-01-01,5.6356999875
1991-02-01,5.5350700378
1991-03-01,5.880039978
1991-04-01,6.1113571212381
1991-05-01,6.14329998126316
1991-06-01,6.4333899498
1991-07-01,6.47015650373913
1991-08-01,6.3360429037619
1991-09-01,6.176776182
1991-10-01,6.16246808668182
1991-11-01,5.9386599778
1991-12-01,5.7226142882381
1992-01-01,5.74075911263636
1992-02-01,5.87765502935
1992-03-01,6.02391360027273
1992-04-01,5.96522998805
1992-05-01,5.83695790652632
1992-06-01,5.6817400456
1992-07-01,5.4022260956087
1992-08-01,5.28561430885714
1992-09-01,5.35656358977273
1992-10-01,5.58708637409091
1992-11-01,6.23275003435
1992-12-01,6.88580002785
1993-01-01,7.2593899964
1993-02-01,7.5359600067
1993-03-01,7.74218258647826
1993-04-01,7.4529099464
1993-05-01,7.32895258852632
1993-06-01,7.430033366
1993-07-01,7.96085004363636
1993-08-01,8.05274538559091
1993-09-01,8.01594547786364
1993-10-01,8.01767623995238
1993-11-01,8.26614279980952
