Date,India
1986-05-01,12.484
1986-06-01,12.611999999
1986-07-01,12.513
1986-08-01,12.577
1986-09-01,12.687
1986-10-01,12.854
1986-11-01,13.092
1986-12-01,13.171
1987-01-01,13.04
1987-02-01,13.068
1987-03-01,12.937
1987-04-01,12.811
1987-05-01,12.693
1987-06-01,12.84
1987-07-01,13.027
1987-08-01,13.1
1987-09-01,13.021
1987-10-01,13.059
1987-11-01,12.988
1987-12-01,12.954
1988-01-01,13.056
1988-02-01,13.073
1988-03-01,13
1988-04-01,13.203
1988-05-01,13.314
1988-06-01,13.769
1988-07-01,14.091
1988-08-01,14.247
1988-09-01,14.491
1988-10-01,14.735
1988-11-01,14.981
1988-12-01,15.045
1989-01-01,15.113
1989-02-01,15.252
1989-03-01,15.479
1989-04-01,15.732
1989-05-01,16.123
1989-06-01,16.459
1989-07-01,16.442
1989-08-01,16.609
1989-09-01,16.764
1989-10-01,16.856
1989-11-01,16.935
1989-12-01,16.942
1990-01-01,16.965
1990-02-01,17.002
1990-03-01,17.12
1990-04-01,17.28
1990-05-01,17.32
1990-06-01,17.431
1990-07-01,17.416
1990-08-01,17.377
1990-09-01,17.869
1990-10-01,18.051
1990-11-01,18.087
1990-12-01,18.124
1991-01-01,18.329
1991-02-01,18.854
1991-03-01,19.244
1991-04-01,19.937
1991-05-01,20.5772
1991-06-01,21.064
1991-07-01,25.577
1991-08-01,25.814
1991-09-01,25.88
1991-10-01,25.872
1991-11-01,25.886
1991-12-01,25.875
1992-01-01,25.917
1992-02-01,25.934
1992-03-01,25.89
1992-04-01,25.89
1992-05-01,25.89
1992-06-01,25.89
1992-07-01,25.89
1992-08-01,25.89
1992-09-01,25.89
1992-10-01,25.89
1992-11-01,25.89
1992-12-01,26.156
1993-01-01,26.2
1993-02-01,26.2
1993-03-01,31.26
1993-04-01,31.307
1993-05-01,31.3256
1993-06-01,31.403
1993-07-01,31.37
1993-08-01,31.373
1993-09-01,31.37047
1993-10-01,31.37
1993-11-01,31.37
1993-12-01,31.37043
1994-01-01,31.37
1994-02-01,31.37
1994-03-01,31.37261
1994-04-01,31.37055
1994-05-01,31.37
1994-06-01,31.37045
1994-07-01,31.37047
1994-08-01,31.37091
1994-09-01,31.37045
1994-10-01,31.37047
1994-11-01,31.39091
1994-12-01,31.38809
1995-01-01,31.3735
1995-02-01,31.37789
1995-03-01,31.64956
1995-04-01,31.41421
1995-05-01,31.41609
1995-06-01,31.40182
1995-07-01,31.37857
1995-08-01,31.59
1995-09-01,33.2625
1995-10-01,34.561
1995-11-01,34.74715
1995-12-01,34.95263
1996-01-01,35.76619
1996-02-01,36.61105
1996-03-01,34.44524
1996-04-01,34.2395
1996-05-01,34.988
1996-06-01,34.98948
1996-07-01,35.51857
1996-08-01,35.6919
1996-09-01,35.731
1996-10-01,35.6425
1996-11-01,35.73632
1996-12-01,35.83833
1997-01-01,35.87238
1997-02-01,35.8885
1997-03-01,35.87333
1997-04-01,35.81905
1997-05-01,35.81285
1997-06-01,35.81048
1997-07-01,35.73609
1997-08-01,35.926
1997-09-01,36.41524
1997-10-01,36.22955
1997-11-01,37.15263
1997-12-01,39.22333
1998-01-01,39.3575
1998-02-01,38.91299
1998-03-01,39.50409
1998-04-01,39.65429
1998-05-01,40.37191
1998-06-01,42.24773
1998-07-01,42.51044
1998-08-01,42.7563
1998-09-01,42.52091
1998-10-01,42.345
1998-11-01,42.37714
1998-12-01,42.55408
1999-01-01,42.508
1999-02-01,42.46412
1999-03-01,42.43667
1999-04-01,42.726
1999-05-01,42.77095
1999-06-01,43.13727
1999-07-01,43.28637
1999-08-01,43.46091
1999-09-01,43.53818
1999-10-01,43.454
1999-11-01,43.39789
1999-12-01,43.48478
2000-01-01,43.5519
2000-02-01,43.61286
2000-03-01,43.58857
2000-04-01,43.639
2000-05-01,43.97045
2000-06-01,44.69095
2000-07-01,44.7781
2000-08-01,45.69182
2000-09-01,45.889
2000-10-01,46.35381
2000-11-01,46.78227
2000-12-01,46.75053
2001-01-01,46.54
2001-02-01,46.51889
2001-03-01,46.6205
2001-04-01,46.786
2001-05-01,46.91727
2001-06-01,47.00526
2001-07-01,47.14182
2001-08-01,47.12632
2001-09-01,47.646
2001-10-01,48.02048
2001-11-01,47.99737
2001-12-01,47.91706
2002-01-01,48.33571
2002-02-01,48.6915
2002-03-01,48.73944
2002-04-01,48.9195
2002-05-01,49
2002-06-01,48.96111
2002-07-01,48.76391
2002-08-01,48.5866
2002-09-01,48.44412
2002-10-01,48.36944
2002-11-01,48.375
2002-12-01,48.1375
2003-01-01,47.93
2003-02-01,47.73579
2003-03-01,47.64889
2003-04-01,47.3775
2003-05-01,47.08316
2003-06-01,46.7175
2003-07-01,46.22957
2003-08-01,45.933
2003-09-01,45.847
2003-10-01,45.387
2003-11-01,45.522
2003-12-01,45.588
2004-01-01,45.4557
2004-02-01,45.2703
2004-03-01,45.018
2004-04-01,43.9311
2004-05-01,45.2508
2004-06-01,45.5068
2004-07-01,46.0416
2004-08-01,46.341
2004-09-01,46.095
2004-10-01,45.7826
2004-11-01,45.1251
2004-12-01,43.9796
2005-01-01,43.7545
2005-02-01,43.6798
2005-03-01,43.6905
2005-04-01,43.7412
2005-05-01,43.4889
2005-06-01,43.5836
2005-07-01,43.5361
2005-08-01,43.6245
2005-09-01,43.915
2005-10-01,44.818
2005-11-01,45.7265
2005-12-01,45.6411
2006-01-01,44.397
2006-02-01,44.3289
2006-03-01,44.481
2006-04-01,44.9491
2006-05-01,45.4073
2006-06-01,46.0561
2006-07-01,46.4562
2006-08-01,46.537
2006-09-01,46.1181
2006-10-01,45.4676
2006-11-01,44.8507
2006-12-01,44.6351
2007-01-01,44.3325
2007-02-01,44.1583
2007-03-01,44.026
2007-04-01,42.1482
2007-05-01,40.7814
2007-06-01,40.7736
2007-07-01,40.4139
2007-08-01,40.8212
2007-09-01,40.34
2007-10-01,39.5114
2007-11-01,39.4364
2007-12-01,39.4395
2008-01-01,39.3737
2008-02-01,39.7326
2008-03-01,40.3561
2008-04-01,40.0224
2008-05-01,42.125
2008-06-01,42.8202
2008-07-01,42.838
2008-08-01,42.9374
2008-09-01,45.5635
2008-10-01,48.6555
2008-11-01,49.0033
2008-12-01,48.6345
2009-01-01,48.8338
2009-02-01,49.2611
2009-03-01,51.2287
2009-04-01,50.0619
2009-05-01,48.534
2009-06-01,47.7714
2009-07-01,48.4783
2009-08-01,48.335
2009-09-01,48.438947368421
2009-10-01,46.7210526315789
2009-11-01,46.569
2009-12-01,46.63
2010-01-01,45.9598
2010-02-01,46.3279
2010-03-01,45.4965
2010-04-01,44.4995
2010-05-01,45.8115
2010-06-01,46.5645454545454
2010-07-01,46.8364
2010-08-01,46.5671
2010-09-01,46.059
2010-10-01,44.4119
2010-11-01,45.0165
2010-12-01,45.1591
2011-01-01,45.3945
2011-02-01,45.4368
2011-03-01,44.9895
2011-04-01,44.3681
2011-05-01,44.9048
2011-06-01,44.8518
2011-07-01,44.4159
2011-08-01,45.2785
2011-09-01,47.638
2011-10-01,49.2569
2011-11-01,50.8433
2011-12-01,52.6675
2012-01-01,51.3461
2012-02-01,49.1635
2012-03-01,50.323
2012-04-01,51.8029
2012-05-01,54.4735
2012-06-01,56.0302
2012-07-01,55.4948
2012-08-01,55.5598
2012-09-01,54.6055
2012-10-01,53.0239
2012-11-01,54.7758
2012-12-01,54.6478
2013-01-01,54.3168
2013-02-01,53.7737
2013-03-01,54.4046
2013-04-01,54.3757
2013-05-01,55.0108
2013-06-01,58.3973
2013-07-01,59.7754
2013-08-01,63.208845
2013-09-01,63.7521
2013-10-01,61.6156
2013-11-01,62.633
2013-12-01,61.9103
2014-01-01,62.076
2014-02-01,62.254
2014-03-01,61.014
2014-04-01,60.3566235294118
2014-05-01,59.305
2014-06-01,59.7307
2014-07-01,60.0586
2014-08-01,60.8952
2014-09-01,60.8649
2014-10-01,61.342
2014-11-01,61.7042
2014-12-01,62.75295
2015-01-01,62.2259285714286
2015-02-01,62.0376111111111
2015-03-01,62.4498380952381
2015-04-01,62.7531611111111
2015-05-01,63.8003263157895
2015-06-01,63.8607363636364
2015-07-01,63.6349782608696
2015-08-01,65.07233
2015-09-01,66.21781
2015-10-01,65.058005
2015-11-01,66.1170944444445
2015-12-01,66.5955142857143
2016-01-01,67.25233
2016-02-01,68.237665
2016-03-01,67.02185
2016-04-01,66.46953125
2016-05-01,66.9067318181818
2016-06-01,67.2968636363637
2016-07-01,67.207625
2016-08-01,66.9396428571429
2016-09-01,66.73773
2016-10-01,66.7476888888889
2016-11-01,67.6256619047619
2016-12-01,67.9004333333333
2017-01-01,68.0803666666667
2017-02-01,67.07545
2017-03-01,65.8766571428572
2017-04-01,64.5070888888889
2017-05-01,64.4248380952381
2017-06-01,64.4429904761905
2017-07-01,64.455880952381
2017-08-01,63.968385
2017-09-01,64.4409476190476
2017-10-01,65.0812842105263
2017-11-01,64.8626136363636
2017-12-01,64.2423210526316
2018-01-01,63.6368954545455
2018-02-01,64.3738388888889
2018-03-01,65.0213315789474
2018-04-01,65.636347368421
2018-05-01,67.53935909
2018-06-01,67.7930666666667
2018-07-01,68.6933590909091
2018-08-01,69.54651
2018-09-01,72.2152833333333
2018-10-01,73.6323047619048
2018-11-01,71.8542388888889
2018-12-01,70.73107
2019-01-01,70.7328695652174
2019-02-01,71.2217684210526
2019-03-01,69.4786473684211
2019-04-01,69.4274055555556
2019-05-01,69.7731227272727
2019-06-01,69.4388631578947
2019-07-01,68.8083043478261
2019-08-01,71.145695
2019-09-01,71.3336631578947
2019-10-01,71.0394473684211
2019-11-01,71.451695
2019-12-01,71.1926047619048
2020-01-01,71.3137826086957
2020-02-01,71.4885166666667
2020-03-01,74.3507
2020-04-01,76.2364882352941
2020-05-01,75.6598777777778
2020-06-01,75.7268363636364
2020-07-01,74.9933913043478
2020-08-01,74.6719238095238
2020-09-01,73.4817409090909
2020-10-01,73.45811
2020-11-01,74.2197894736842
2020-12-01,73.5936454545454
2021-01-01,73.109395
2021-02-01,72.7564631578947
2021-03-01,72.7928
2021-04-01,74.4722117647059
2021-05-01,73.2677421052631
2021-06-01,73.5582590909091
2021-07-01,74.5269666666666
2021-08-01,74.18459
2021-09-01,73.5634095238095
2021-10-01,74.9152842105263
2021-11-01,74.4965105263158
2021-12-01,75.3725217391304
2022-01-01,74.4416
2022-02-01,75.0031263157895
2022-03-01,76.2444714285714
2022-04-01,76.1678333333333
2022-05-01,77.319275
2022-06-01,78.0745772727273
2022-07-01,79.6015523809524
2022-08-01,79.555047368421
2022-09-01,80.2315545454546
2022-10-01,82.3401166666667
2022-11-01,81.8105190476191
2022-12-01,82.4642136363636
2023-01-01,81.8995904761905
2023-02-01,82.608545
2023-03-01,82.28857
2023-04-01,82.0207823529412
2023-05-01,82.3433238095238
2023-06-01,82.2336571428571
2023-07-01,82.1519428571429
2023-08-01,82.7853857142857
2023-09-01,83.04746
2023-10-01,83.235335
2023-11-01,83.298005
2023-12-01,83.29936
