Date,Mexico
1991-02-01,2.96934740173684
1991-03-01,2.98090558583333
1991-04-01,2.99290906309091
1991-05-01,3.00690907781818
1991-06-01,3.0191799999
1991-07-01,3.03097824434783
1991-08-01,3.04506818809091
1991-09-01,3.0558249951
1991-10-01,3.06831302834783
1991-11-01,3.07051579584211
1991-12-01,3.07145792578947
1992-01-01,3.06700906968182
1992-02-01,3.06225503695
1992-03-01,3.06715911090909
1992-04-01,3.0707450153
1992-05-01,3.10249475436842
1992-06-01,3.11952274504545
1992-07-01,3.11539132713043
1992-08-01,3.08740477338095
1992-09-01,3.08899046133333
1992-10-01,3.12380953057143
1992-11-01,3.11757895821053
1992-12-01,3.11788094619048
1993-01-01,3.10835002675
1993-02-01,3.09723684678947
1993-03-01,3.10800001930435
1993-04-01,3.0981500507
1993-05-01,3.12497501365
1993-06-01,3.12079548836364
1993-07-01,3.12320453477273
1993-08-01,3.11163637854545
1993-09-01,3.1139999912381
1993-10-01,3.1156750084
1993-11-01,3.15361000295
1993-12-01,3.10790001277273
1994-01-01,3.10730948919048
1994-02-01,3.12149996785
1994-03-01,3.3024599909
1994-04-01,3.34661000965
1994-05-01,3.31299998652381
1994-06-01,3.36797273163636
1994-07-01,3.40207618747619
1994-08-01,3.38256087508696
1994-09-01,3.3992227315
1994-10-01,3.42142857814286
1994-11-01,3.44293181472727
1994-12-01,4.05605714666667
1995-01-01,5.59363640436364
1995-02-01,5.67899999625
1995-03-01,6.74818179827273
1995-04-01,6.18444448061111
1995-05-01,5.97071427385714
1995-06-01,6.21113634104545
1995-07-01,6.123047647
1995-08-01,6.20580434791304
1995-09-01,6.3149750471
1995-10-01,6.73459094222727
1995-11-01,7.61830949780952
1995-12-01,7.67210526215789
1996-01-01,7.47977271940909
1996-02-01,7.51903004655
1996-03-01,7.56659998895
1996-04-01,7.46280004975
1996-05-01,7.43411365427273
1996-06-01,7.561650014
1996-07-01,7.62049998413043
1996-08-01,7.51272727272727
1996-09-01,7.54465
1996-10-01,7.73047826086957
1996-11-01,7.902
1996-12-01,7.8742
1997-01-01,7.82793181818182
1997-02-01,7.80852631578947
1997-03-01,7.95972222222222
1997-04-01,7.90834090909091
1997-05-01,7.90164285714286
1997-06-01,7.9492619047619
1997-07-01,7.87126086956522
1997-08-01,7.78619047619048
1997-09-01,7.78026315789474
1997-10-01,7.88819565217391
1997-11-01,8.27811578947368
1997-12-01,8.12332857142857
1998-01-01,8.22659047619048
1998-02-01,8.50408421052632
1998-03-01,8.56565454545455
1998-04-01,8.49852105263158
1998-05-01,8.59988421052632
1998-06-01,8.91378636363636
1998-07-01,8.89712173913044
1998-08-01,9.37292380952381
1998-09-01,10.22888
1998-10-01,10.1487523809524
1998-11-01,9.97453684210526
1998-12-01,9.909285
1999-01-01,10.137255
1999-02-01,9.99625
1999-03-01,9.73091739130435
1999-04-01,9.4133
1999-05-01,9.39707368421053
1999-06-01,9.50878095238095
1999-07-01,9.36568181818182
1999-08-01,9.38779545454545
1999-09-01,9.33617727272727
1999-10-01,9.55296666666667
1999-11-01,9.39778571428571
1999-12-01,9.41161904761905
2000-01-01,9.4881
2000-02-01,9.42271428571429
2000-03-01,9.28804347826087
2000-04-01,9.3863
2000-05-01,9.49647826086957
2000-06-01,9.81436363636364
2000-07-01,9.43966666666667
2000-08-01,9.26702173913043
2000-09-01,9.34575
2000-10-01,9.52404545454545
2000-11-01,9.49959090909091
2000-12-01,9.46475
2001-01-01,9.75895454545454
2001-02-01,9.694025
2001-03-01,9.58925
2001-04-01,9.335065
2001-05-01,9.1966347826087
2001-06-01,9.10535714285714
2001-07-01,9.15509090909091
2001-08-01,9.17460869565217
2001-09-01,9.390705
2001-10-01,9.35489130434783
2001-11-01,9.21772727272727
2001-12-01,9.15877777777778
2002-01-01,9.16190454545455
2002-02-01,9.09853
2002-03-01,9.06428571428571
2002-04-01,9.16175
2002-05-01,9.50740434782609
2002-06-01,9.763475
2002-07-01,9.77442173913044
2002-08-01,9.83951818181818
2002-09-01,10.0663428571429
2002-10-01,10.0849347826087
2002-11-01,10.1900666666667
2002-12-01,10.2132368421053
2003-01-01,10.6184909090909
2003-02-01,10.93683
2003-03-01,10.9237047619048
2003-04-01,10.5858045454545
2003-05-01,10.2607772727273
2003-06-01,10.5024571428571
2003-07-01,10.4525869565217
2003-08-01,10.7813333333333
2003-09-01,10.9230681818182
2003-10-01,11.1632434782609
2003-11-01,11.140315
2003-12-01,11.2479857142857
2004-01-01,10.9243571428571
2004-02-01,11.023975
2004-03-01,11.0109565217391
2004-04-01,11.2608863636364
2004-05-01,11.5017904761905
2004-06-01,11.3782954545455
2004-07-01,11.4653181818182
2004-08-01,11.3894727272727
2004-09-01,11.4873727272727
2004-10-01,11.3960761904762
2004-11-01,11.3669954545455
2004-12-01,11.1963347826087
2005-01-01,11.2523571428571
2005-02-01,11.13384
2005-03-01,11.1192913043478
2005-04-01,11.117419047619
2005-05-01,10.9715454545455
2005-06-01,10.8232954545455
2005-07-01,10.6848333333333
2005-08-01,10.680847826087
2005-09-01,10.7731818181818
2005-10-01,10.8289285714286
2005-11-01,10.6620636363636
2005-12-01,10.6285
2006-01-01,10.5518181818182
2006-02-01,10.4855
2006-03-01,10.7553043478261
2006-04-01,11.0514
2006-05-01,11.0882173913043
2006-06-01,11.3937727272727
2006-07-01,10.9867142857143
2006-08-01,10.8745217391304
2006-09-01,10.982
2006-10-01,10.8965
2006-11-01,10.9160454545455
2006-12-01,10.8557619047619
2007-01-01,10.9488260869565
2007-02-01,10.9944
2007-03-01,11.1162727272727
2007-04-01,10.9806666666667
2007-05-01,10.8234782608696
2007-06-01,10.8385238095238
2007-07-01,10.8099545454545
2007-08-01,11.0470869565217
2007-09-01,11.03135
2007-10-01,10.8261739130435
2007-11-01,10.8807727272727
2007-12-01,10.8462
2008-01-01,10.9100434782609
2008-02-01,10.768619047619
2008-03-01,10.7342380952381
2008-04-01,10.5151363636364
2008-05-01,10.4402272727273
2008-06-01,10.3281428571429
2008-07-01,10.2171739130435
2008-08-01,10.1086666666667
2008-09-01,10.6474090909091
2008-10-01,12.6438695652174
2008-11-01,13.1082
2008-12-01,13.4171
2009-01-01,13.91065
2009-02-01,14.6087
2009-03-01,14.641
2009-04-01,13.409
2009-05-01,13.1875714285714
2009-06-01,13.3320454545455
2009-07-01,13.3616956521739
2009-08-01,13.007619047619
2009-09-01,13.4049090909091
2009-10-01,13.2198636363636
2009-11-01,13.1094761904762
2009-12-01,12.8583043478261
2010-01-01,12.8180952380952
2010-02-01,12.9288
2010-03-01,12.5706956521739
2010-04-01,12.2497272727273
2010-05-01,12.7382380952381
2010-06-01,12.717
2010-07-01,12.8205
2010-08-01,12.7686363636364
2010-09-01,12.803
2010-10-01,12.4440476190476
2010-11-01,12.3347727272727
2010-12-01,12.3890434782609
2011-01-01,12.1236619047619
2011-02-01,12.06545
2011-03-01,11.9979565217391
2011-04-01,11.7014285714286
2011-05-01,11.653
2011-06-01,11.8038181818182
2011-07-01,11.669
2011-08-01,12.231
2011-09-01,13.0542727272727
2011-10-01,13.4384761904762
2011-11-01,13.6970909090909
2011-12-01,13.7696818181818
2012-01-01,13.4028636363636
2012-02-01,12.7755238095238
2012-03-01,12.7428181818182
2012-04-01,13.0562857142857
2012-05-01,13.6260434782609
2012-06-01,13.9137619047619
2012-07-01,13.3566818181818
2012-08-01,13.178
2012-09-01,12.9339
2012-10-01,12.8892173913043
2012-11-01,13.0651363636364
2012-12-01,12.8622380952381
2013-01-01,12.6981739130435
2013-02-01,12.71625
2013-03-01,12.4983333333333
2013-04-01,12.2131818181818
2013-05-01,12.3137142857143
2013-06-01,12.9572025
2013-07-01,12.7618804347826
2013-08-01,12.9285681818182
2013-09-01,13.0742738095238
2013-10-01,12.9966630434783
2013-11-01,13.0742142857143
2013-12-01,13.0059545454545
2014-01-01,13.2132608695652
2014-02-01,13.2786
2014-03-01,13.2025
2014-04-01,13.0617727272727
2014-05-01,12.9301590909091
2014-06-01,12.9933452380952
2014-07-01,12.9666413043478
2014-08-01,13.1440714285714
2014-09-01,13.2383863636364
2014-10-01,13.4796086956522
2014-11-01,13.622
2014-12-01,14.5353043478261
2015-01-01,14.6968636363636
2015-02-01,14.917725
2015-03-01,15.2428295454545
2015-04-01,15.22827
2015-05-01,15.2665
2015-06-01,15.5047159090909
2015-07-01,15.9410308695652
2015-08-01,16.5439238095238
2015-09-01,16.8513909090909
2015-10-01,16.5788327272727
2015-11-01,16.6382076190476
2015-12-01,17.0801356521739
2016-01-01,18.0493747619048
2016-02-01,18.46209
2016-03-01,17.6228413043478
2016-04-01,17.4679457142857
2016-05-01,18.0829459090909
2016-06-01,18.5700968181818
2016-07-01,18.5228276190476
2016-08-01,18.4191004347826
2016-09-01,19.0494354545455
2016-10-01,18.8284457142857
2016-11-01,19.9966854545455
2016-12-01,20.4569504545455
2017-01-01,21.2720709090909
2017-02-01,20.2188015
2017-03-01,19.2278969565217
2017-04-01,18.756366
2017-05-01,18.76033
2017-06-01,18.1098345454545
2017-07-01,17.7812314285714
2017-08-01,17.7901565217391
2017-09-01,17.79284
2017-10-01,18.7307772727273
2017-11-01,18.87773
2017-12-01,19.1398742857143
2018-01-01,18.8929939130435
2018-02-01,18.6114675
2018-03-01,18.59596
2018-04-01,18.3221004761905
2018-05-01,19.4735565217391
2018-06-01,20.2173519047619
2018-07-01,18.9536072727273
2018-08-01,18.7890491304348
2018-09-01,18.958956
2018-10-01,19.1143626086957
2018-11-01,20.1862395454545
2018-12-01,20.0223076190476
2019-01-01,19.1448356521739
2019-02-01,19.15143
2019-03-01,19.1944928571429
2019-04-01,18.9369831818182
2019-05-01,19.083612173913
2019-06-01,19.212393
2019-07-01,19.0164060869565
2019-08-01,19.6524590909091
2019-09-01,19.54335
2019-10-01,19.298372173913
2019-11-01,19.2869457142857
2019-12-01,19.0796581818182
2020-01-01,18.7757395652174
2020-02-01,18.801899
2020-03-01,22.1420445454545
2020-04-01,24.1010459090909
2020-05-01,23.3340952380952
2020-06-01,22.1754304545455
2020-07-01,22.336042173913
2020-08-01,22.1374295238095
2020-09-01,21.5499518181818
2020-10-01,21.2115463636364
2020-11-01,20.354380952381
2020-12-01,19.890757826087
2021-01-01,19.8405942857143
2021-02-01,20.2356995
2021-03-01,20.6816539130435
2021-04-01,20.0252736363636
2021-05-01,19.9176423809524
2021-06-01,19.94855
2021-07-01,19.9255231818182
2021-08-01,20.02157
2021-09-01,20.0017286363636
2021-10-01,20.454070952381
2021-11-01,20.7952490909091
2021-12-01,20.8325447826087
2022-01-01,20.4519533333333
2022-02-01,20.4117995
2022-03-01,20.4929539130435
2022-04-01,20.0125719047619
2022-05-01,19.9752240909091
2022-06-01,19.9529331818182
2022-07-01,20.4700247619048
2022-08-01,20.0744565217391
2022-09-01,20.0156127272727
2022-10-01,19.9552623809524
2022-11-01,19.4290672727273
2022-12-01,19.5425463636364
2023-01-01,18.9415654545455
2023-02-01,18.553871
2023-03-01,18.329912173913
2023-04-01,18.057974
2023-05-01,17.702762173913
2023-06-01,17.2013663636364
2023-07-01,16.8617376190476
2023-08-01,16.9378939130435
2023-09-01,17.2599247619048
2023-10-01,17.9980936363636
2023-11-01,17.3403418181818
2023-12-01,17.1358319047619
