Date,Denmark
2003-03-01,6.88372635280952
2003-04-01,6.83098043136364
2003-05-01,6.41773767595455
2003-06-01,6.36302243880952
2003-07-01,6.5386949133913
2003-08-01,6.6673786167619
2003-09-01,6.59762311104545
2003-10-01,6.3510341996087
2003-11-01,6.348200785
2003-12-01,6.05046816104762
2004-01-01,5.90522467252381
2004-02-01,5.897055068
2004-03-01,6.07532789047826
2004-04-01,6.20444292609091
2004-05-01,6.19321449861905
2004-06-01,6.11990605995455
2004-07-01,6.06338230204545
2004-08-01,6.10022803518182
2004-09-01,6.08535804418182
2004-10-01,5.94752963219048
2004-11-01,5.71750053954545
2004-12-01,5.54156657043478
2005-01-01,5.67524734390476
2005-02-01,5.71371719905
2005-03-01,5.65057070413043
2005-04-01,5.75695305933333
2005-05-01,5.86999318422727
2005-06-01,6.12515057409091
2005-07-01,6.19076667019048
2005-08-01,6.06533313826087
2005-09-01,6.09140957331818
2005-10-01,6.20332026604762
2005-11-01,6.32442523554545
2005-12-01,6.28622407209091
2006-01-01,6.15767909272727
2006-02-01,6.25249759525
2006-03-01,6.20213806013043
2006-04-01,6.07607286325
2006-05-01,5.83779563186957
2006-06-01,5.88899682990909
2006-07-01,5.87752993447619
2006-08-01,5.8241743963913
2006-09-01,5.85884613338095
2006-10-01,5.90741844990909
2006-11-01,5.78442986286364
2006-12-01,5.64855245461905
2007-01-01,5.73387473208696
2007-02-01,5.6961725851
2007-03-01,5.62252522131818
2007-04-01,5.51650844738095
2007-05-01,5.51582284626087
2007-06-01,5.54688989619048
2007-07-01,5.42423331586364
2007-08-01,5.46469556482609
2007-09-01,5.35615930615
2007-10-01,5.23809164582609
2007-11-01,5.07468842431818
2007-12-01,5.1234025925
2008-01-01,5.06396852165217
2008-02-01,5.05864012485714
2008-03-01,4.80278523238095
2008-04-01,4.73775089981818
2008-05-01,4.79686363636364
2008-06-01,4.79604761904762
2008-07-01,4.73365217391304
2008-08-01,4.98680952380952
2008-09-01,5.19740909090909
2008-10-01,5.61808695652174
2008-11-01,5.8489
2008-12-01,5.54645
2009-01-01,5.65485
2009-02-01,5.81665
2009-03-01,5.71213636363636
2009-04-01,5.64072727272727
2009-05-01,5.44938095238095
2009-06-01,5.31134545454545
2009-07-01,5.28430434782609
2009-08-01,5.21614285714286
2009-09-01,5.10913636363636
2009-10-01,5.02377272727273
2009-11-01,4.98842857142857
2009-12-01,5.10613043478261
2010-01-01,5.2102380952381
2010-02-01,5.4389
2010-03-01,5.48321739130435
2010-04-01,5.55486363636364
2010-05-01,5.91847619047619
2010-06-01,6.09118181818182
2010-07-01,5.82622727272727
2010-08-01,5.77559090909091
2010-09-01,5.68754545454545
2010-10-01,5.36885714285714
2010-11-01,5.46654545454545
2010-12-01,5.6394347826087
2011-01-01,5.57595238095238
2011-02-01,5.4574
2011-03-01,5.32021739130435
2011-04-01,5.15661904761905
2011-05-01,5.20627272727273
2011-06-01,5.17627272727273
2011-07-01,5.219
2011-08-01,5.19827826086957
2011-09-01,5.41204545454545
2011-10-01,5.42523809523809
2011-11-01,5.48318181818182
2011-12-01,5.65263636363636
2012-01-01,5.76163636363636
2012-02-01,5.61495238095238
2012-03-01,5.62763636363636
2012-04-01,5.65114285714286
2012-05-01,5.81004347826087
2012-06-01,5.92647619047619
2012-07-01,6.05513636363636
2012-08-01,6.00182608695652
2012-09-01,5.79055
2012-10-01,5.74613043478261
2012-11-01,5.81131818181818
2012-12-01,5.68247619047619
2013-01-01,5.60978260869565
2013-02-01,5.5899
2013-03-01,5.75557142857143
2013-04-01,5.72290909090909
2013-05-01,5.74342857142857
2013-06-01,5.65446
2013-07-01,5.7024
2013-08-01,5.60359090909091
2013-09-01,5.58797619047619
2013-10-01,5.47090869565217
2013-11-01,5.52796666666667
2013-12-01,5.44415
2014-01-01,5.47925652173913
2014-02-01,5.46368
2014-03-01,5.39988571428571
2014-04-01,5.40438181818182
2014-05-01,5.43391818181818
2014-06-01,5.48578095238095
2014-07-01,5.5075347826087
2014-08-01,5.59878095238095
2014-09-01,5.77124090909091
2014-10-01,5.87485652173913
2014-11-01,5.96656
2014-12-01,6.03885652173913
2015-01-01,6.39246818181818
2015-02-01,6.564335
2015-03-01,6.88511363636364
2015-04-01,6.93117272727273
2015-05-01,6.69431428571429
2015-06-01,6.65093181818182
2015-07-01,6.78629130434783
2015-08-01,6.70130476190476
2015-09-01,6.64928181818182
2015-10-01,6.64107727272727
2015-11-01,6.94972857142857
2015-12-01,6.85888260869565
2016-01-01,6.8694
2016-02-01,6.72842857142857
2016-03-01,6.7150347826087
2016-04-01,6.5613
2016-05-01,6.57304090909091
2016-06-01,6.62379545454545
2016-07-01,6.72103333333333
2016-08-01,6.63692608695652
2016-09-01,6.64243181818182
2016-10-01,6.74854761904762
2016-11-01,6.89237727272727
2016-12-01,7.05708181818182
2017-01-01,7.00573636363636
2017-02-01,6.98621
2017-03-01,6.95980869565217
2017-04-01,6.9454
2017-05-01,6.73386956521739
2017-06-01,6.62440909090909
2017-07-01,6.46125238095238
2017-08-01,6.29995217391304
2017-09-01,6.24485238095238
2017-10-01,6.33142272727273
2017-11-01,6.34062272727273
2017-12-01,6.28798095238095
2018-01-01,6.10867826086957
2018-02-01,6.03029
2018-03-01,6.03541818181818
2018-04-01,6.06218571428571
2018-05-01,6.30091739130435
2018-06-01,6.37758571428571
2018-07-01,6.37732272727273
2018-08-01,6.4564652173913
2018-09-01,6.39745
2018-10-01,6.49606956521739
2018-11-01,6.5641
2018-12-01,6.55597619047619
2019-01-01,6.53874782608696
2019-02-01,6.574515
2019-03-01,6.6026380952381
2019-04-01,6.63787272727273
2019-05-01,6.67419565217391
2019-06-01,6.613165
2019-07-01,6.65496086956522
2019-08-01,6.70523181818182
2019-09-01,6.78267619047619
2019-10-01,6.75830869565217
2019-11-01,6.7615380952381
2019-12-01,6.72691363636364
2020-01-01,6.72985217391304
2020-02-01,6.851725
2020-03-01,6.75452727272727
2020-04-01,6.86918181818182
2020-05-01,6.84347619047619
2020-06-01,6.62547727272727
2020-07-01,6.4978
2020-08-01,6.29536190476191
2020-09-01,6.31101363636364
2020-10-01,6.32048636363636
2020-11-01,6.29017619047619
2020-12-01,6.11500434782609
2021-01-01,6.10949047619048
2021-02-01,6.14729
