Date,Bitcoin
2016-04-01,418.3085714285714286
2016-04-08,420.6957142857142857
2016-04-15,425.3471428571428571
2016-04-22,439.4342857142857143
2016-04-29,458.9600000000000000
2016-05-06,452.9428571428571429
2016-05-13,458.6385714285714286
2016-05-20,452.8300000000000000
2016-05-27,451.3071428571428571
2016-06-03,536.6171428571428571
2016-06-10,579.8485714285714286
2016-06-17,699.8742857142857143
2016-06-24,686.3014285714285714
2016-07-01,658.5242857142857143
2016-07-08,672.6342857142857143
2016-07-15,658.8642857142857143
2016-07-22,669.2385714285714286
2016-07-29,657.4428571428571429
2016-08-05,595.6242857142857143
2016-08-12,590.7671428571428571
2016-08-19,575.7800000000000000
2016-08-26,580.5842857142857143
2016-09-02,573.7900000000000000
2016-09-09,613.8228571428571429
2016-09-16,609.8357142857142857
2016-09-23,604.2414285714285714
2016-09-30,605.4514285714285714
2016-10-07,613.4857142857142857
2016-10-14,629.6057142857142857
2016-10-21,634.7742857142857143
2016-10-28,666.1757142857142857
2016-11-04,711.4585714285714286
2016-11-11,713.1942857142857143
2016-11-18,721.1785714285714286
2016-11-25,740.7242857142857143
2016-12-02,741.8600000000000000
2016-12-09,764.6028571428571429
2016-12-16,776.6914285714285714
2016-12-23,825.2671428571428571
2016-12-30,932.6585714285714286
2017-01-06,1004.4928571428571429
2017-01-13,868.7757142857142857
2017-01-20,869.5628571428571429
2017-01-27,912.8042857142857143
2017-02-03,964.8414285714285714
2017-02-10,1025.9042857142857143
2017-02-17,1022.3085714285714286
2017-02-24,1120.3800000000000000
2017-03-03,1217.9757142857142857
2017-03-10,1218.8328571428571429
2017-03-17,1203.4685714285714286
2017-03-24,1020.4928571428571429
2017-03-31,1028.4114285714285714
2017-04-07,1145.9814285714285714
2017-04-14,1199.2028571428571429
2017-04-21,1207.0057142857142857
2017-04-28,1291.2100000000000000
2017-05-05,1472.3085714285714286
2017-05-12,1708.1314285714285714
2017-05-19,1829.5185714285714286
2017-05-26,2224.6600000000000000
2017-06-02,2286.5857142857142857
2017-06-09,2705.0657142857142857
2017-06-16,2659.6385714285714286
2017-06-23,2640.9071428571428571
2017-06-30,2514.6314285714285714
2017-07-07,2543.9500000000000000
2017-07-14,2378.8314285714285714
2017-07-21,2315.6214285714285714
2017-07-28,2697.5514285714285714
2017-08-04,2765.4185714285714286
2017-08-11,3390.0428571428571429
2017-08-18,4166.6771428571428571
2017-08-25,4159.7028571428571429
2017-09-01,4563.1900000000000000
2017-09-08,4542.4514285714285714
2017-09-15,3972.3857142857142857
2017-09-22,3795.0185714285714286
2017-09-29,3972.5171428571428571
2017-10-06,4333.1971428571428571
2017-10-13,4918.2614285714285714
2017-10-20,5732.7542857142857143
2017-10-27,5838.9871428571428571
2017-11-03,6493.5528571428571429
2017-11-10,7157.5028571428571429
2017-11-17,6888.7371428571428571
2017-11-24,8095.7157142857142857
2017-12-01,9803.3057142857142857
2017-12-08,13347.087142857143
2017-12-15,16627.704285714286
2017-12-22,17481.857142857143
2017-12-29,14806.118571428571
2018-01-05,14595.397142857143
2018-01-12,14964.454285714286
2018-01-19,12429.817142857143
2018-01-26,11347.7557142857142857
2018-02-02,10267.8214285714285714
2018-02-09,8066.6314285714285714
2018-02-16,9097.7814285714285714
2018-02-23,10615.1957142857142857
2018-03-02,10336.6242857142857143
2018-03-09,10494.2628571428571429
2018-03-16,8762.3928571428571429
2018-03-23,8582.8600000000000000
2018-03-30,7827.6671428571428571
2018-04-06,6915.8514285714285714
2018-04-13,7180.3314285714285714
2018-04-20,8227.3871428571428571
2018-04-27,9050.3385714285714286
2018-05-04,9376.6185714285714286
2018-05-11,9235.4257142857142857
2018-05-18,8421.4385714285714286
2018-05-25,7954.5514285714285714
2018-06-01,7375.9800000000000000
2018-06-08,7628.7757142857142857
2018-06-15,6717.8185714285714286
2018-06-22,6558.8300000000000000
2018-06-29,6119.2114285714285714
2018-07-06,6509.6457142857142857
2018-07-13,6468.4342857142857143
2018-07-20,6974.9514285714285714
2018-07-27,7883.5342857142857143
2018-08-03,7842.0728571428571429
2018-08-10,6666.5985714285714286
2018-08-17,6310.0928571428571429
2018-08-24,6456.8614285714285714
2018-08-31,6922.7600000000000000
2018-09-07,6954.4328571428571429
2018-09-14,6327.9385714285714286
2018-09-21,6461.8757142857142857
2018-09-28,6596.9971428571428571
2018-10-05,6552.1014285714285714
2018-10-12,6455.3200000000000000
2018-10-19,6356.9528571428571429
2018-10-26,6407.0142857142857143
2018-11-02,6334.9071428571428571
2018-11-09,6407.4271428571428571
2018-11-16,5998.4928571428571429
2018-11-23,4748.7385714285714286
2018-11-30,3952.4328571428571429
2018-12-07,3784.0242857142857143
2018-12-14,3368.9485714285714286
2018-12-21,3591.3571428571428571
2018-12-28,3861.0314285714285714
2019-01-04,3796.4114285714285714
2019-01-11,3872.2014285714285714
2019-01-18,3605.2585714285714286
2019-01-25,3573.1114285714285714
2019-02-01,3457.2871428571428571
2019-02-08,3438.5042857142857143
2019-02-15,3593.6800000000000000
2019-02-22,3820.1685714285714286
2019-03-01,3837.2442857142857143
2019-03-08,3813.4285714285714286
2019-03-15,3876.4828571428571429
2019-03-22,3988.1071428571428571
2019-03-29,3987.2342857142857143
2019-04-05,4593.0257142857142857
2019-04-12,5164.9757142857142857
2019-04-19,5180.1757142857142857
2019-04-26,5324.8714285714285714
2019-05-03,5301.8714285714285714
2019-05-10,5909.5514285714285714
2019-05-17,7637.3614285714285714
2019-05-24,7845.2828571428571429
2019-05-31,8540.2057142857142857
2019-06-07,8081.9542857142857143
2019-06-14,8092.2571428571428571
2019-06-21,9328.1728571428571429
2019-06-28,11513.071428571429
2019-07-05,11191.4671428571428571
2019-07-12,11820.505714285714
2019-07-19,10400.1228571428571429
2019-07-26,10142.8800000000000000
2019-08-02,9878.7500000000000000
2019-08-09,11565.012857142857
2019-08-16,10830.5514285714285714
2019-08-23,10410.8171428571428571
2019-08-30,9952.0557142857142857
