Date,Korea
1991-01-01,718.104542127273
1991-02-01,721.325
1991-03-01,725.08000488
1991-04-01,725.261901857143
1991-05-01,724.85999756
1991-06-01,725.31500244
1991-07-01,728.484353765217
1991-08-01,731.254541572727
1991-09-01,739.921490485
1991-10-01,749.043475608696
1991-11-01,752.9394724
1991-12-01,757.16190592381
1992-01-01,762.409088136364
1992-02-01,764.501050447368
1992-03-01,767.899999440909
1992-04-01,778.30142357619
1992-05-01,781.485882923529
1992-06-01,789.009085918182
1992-07-01,786.637273609091
1992-08-01,789.159045995238
1992-09-01,785.359092018182
1992-10-01,783.322731709091
1992-11-01,783.876188733333
1992-12-01,788.186362527273
1993-01-01,792.181494145
1993-02-01,796.121048778947
1993-03-01,793.083472217391
1993-04-01,795.742855980952
1993-05-01,799.422220866667
1993-06-01,802.418182372727
1993-07-01,806.3772694
1993-08-01,808.597731154545
1993-09-01,808.6272694
1993-10-01,810.180945990476
1993-11-01,807.06666492381
1993-12-01,809.413629709091
1994-01-01,811.12500305
1994-02-01,809.48000183
1994-03-01,807.021733826087
1994-04-01,808.42499695
1994-05-01,806.213634145455
1994-06-01,810.418182372727
1994-07-01,804.766671314286
1994-08-01,807.504344113043
1994-09-01,799.431815409091
1994-10-01,798.500494385
1994-11-01,796.292858304762
1994-12-01,792.039476894737
1995-01-01,790.588096980952
1995-02-01,793.054501345
1995-03-01,778.495661191304
1995-04-01,766.968415915789
1995-05-01,761.297735036364
1995-06-01,761.124547781818
1995-07-01,756.9750061
1995-08-01,768.475000554545
1995-09-01,771.964291523809
1995-10-01,767.190909645455
1995-11-01,769.6285662
1995-12-01,771.013161105263
1996-01-01,786.517725163636
1996-02-01,779.957150409524
1996-03-01,781.05000232381
1996-04-01,780.291431242857
1996-05-01,780.907901157895
1996-06-01,797.74500122
1996-07-01,812.382610817391
1996-08-01,816.959090909091
1996-09-01,822.109523809524
1996-10-01,827.545652173913
1996-11-01,828.183333333333
1996-12-01,839.3925
1997-01-01,851.070454545455
1997-02-01,867.2725
1997-03-01,880.180952380952
1997-04-01,893.478571428571
1997-05-01,892
1997-06-01,889.333333333333
1997-07-01,890.617391304348
1997-08-01,896.143
1997-09-01,909.802380952381
1997-10-01,925.741304347826
1997-11-01,1033.69473684211
1997-12-01,1476.7545
1998-01-01,1701.33333333333
1998-02-01,1620.8
1998-03-01,1491.58181818182
1998-04-01,1385.6
1998-05-01,1396.35
1998-06-01,1394.30909090909
1998-07-01,1293.34782608696
1998-08-01,1309.09523809524
1998-09-01,1371.35454545455
1998-10-01,1341.26363636364
1998-11-01,1289.94285714286
1998-12-01,1210.74545454545
1999-01-01,1174.145
1999-02-01,1186.865
1999-03-01,1215.15217391304
1999-04-01,1199.56
1999-05-01,1194.00952380952
1999-06-01,1168.60909090909
1999-07-01,1187.61363636364
1999-08-01,1198.29772727273
1999-09-01,1199.57227272727
1999-10-01,1204.9619047619
1999-11-01,1174.96428571429
1999-12-01,1136.71904761905
2000-01-01,1131.31
2000-02-01,1129.08571428571
2000-03-01,1116.25391304348
2000-04-01,1109.81
2000-05-01,1119.82173913043
2000-06-01,1117.57045454545
2000-07-01,1114.60904761905
2000-08-01,1114.40434782609
2000-09-01,1116.68
2000-10-01,1128.03636363636
2000-11-01,1154.99090909091
2000-12-01,1215.105
2001-01-01,1272.32272727273
2001-02-01,1251.355
2001-03-01,1289.40909090909
2001-04-01,1328.315
2001-05-01,1297.38695652174
2001-06-01,1294.0380952381
2001-07-01,1302.86818181818
2001-08-01,1282.26956521739
2001-09-01,1294.61
2001-10-01,1303.13043478261
2001-11-01,1282.00454545455
2001-12-01,1287.20555555556
2002-01-01,1316.89545454545
2002-02-01,1319.935
2002-03-01,1322.11428571429
2002-04-01,1317.68636363636
2002-05-01,1263.19565217391
2002-06-01,1222.485
2002-07-01,1184.19565217391
2002-08-01,1196.45681818182
2002-09-01,1209.59761904762
2002-10-01,1239.35565217391
2002-11-01,1212.06666666667
2002-12-01,1208.55736842105
2003-01-01,1177.85227272727
2003-02-01,1191.6875
2003-03-01,1237.35952380952
2003-04-01,1221.57272727273
2003-05-01,1200.95727272727
2003-06-01,1193.60619047619
2003-07-01,1180.78130434783
2003-08-01,1178.22380952381
2003-09-01,1164.96818181818
2003-10-01,1167.38043478261
2003-11-01,1185.419
2003-12-01,1191.69666666667
2004-01-01,1183.05714285714
2004-02-01,1165.63
2004-03-01,1164.62217391304
2004-04-01,1151.57954545455
2004-05-01,1176.43571428571
2004-06-01,1158.46909090909
2004-07-01,1157.54909090909
2004-08-01,1157.52045454545
2004-09-01,1147.39272727273
2004-10-01,1141.62476190476
2004-11-01,1087.84545454545
2004-12-01,1050.63217391304
2005-01-01,1038.58571428571
2005-02-01,1021.1735
2005-03-01,1008.11086956522
2005-04-01,1009.6980952381
2005-05-01,1001.60454545455
2005-06-01,1012.08818181818
2005-07-01,1036.83333333333
2005-08-01,1020.8347826087
2005-09-01,1032.54090909091
2005-10-01,1045.94761904762
2005-11-01,1040.65454545455
2005-12-01,1022.63636363636
2006-01-01,982
2006-02-01,970.2
2006-03-01,975.086956521739
2006-04-01,953.05
2006-05-01,941.391304347826
2006-06-01,954.818181818182
2006-07-01,951.047619047619
2006-08-01,961.347826086957
2006-09-01,953.095238095238
2006-10-01,953.681818181818
2006-11-01,935.590909090909
2006-12-01,925.666666666667
2007-01-01,936.913043478261
2007-02-01,937.15
2007-03-01,943.363636363636
2007-04-01,931
2007-05-01,928.217391304348
2007-06-01,928.428571428571
2007-07-01,918.181818181818
2007-08-01,935
2007-09-01,929
2007-10-01,915.304347826087
2007-11-01,919.045454545455
2007-12-01,931.8
2008-01-01,942.639130434783
2008-02-01,944.647619047619
2008-03-01,982.235714285714
2008-04-01,987.056818181818
2008-05-01,1034.66136363636
2008-06-01,1030.50476190476
2008-07-01,1018.04347826087
2008-08-01,1046.73095238095
2008-09-01,1135.41136363636
2008-10-01,1314.91086956522
2008-11-01,1401.1675
2008-12-01,1372.3325
2009-01-01,1358.05
2009-02-01,1438.825
2009-03-01,1448.62045454545
2009-04-01,1331.03181818182
2009-05-01,1253.58571428571
2009-06-01,1259.52727272727
2009-07-01,1259.88260869565
2009-08-01,1238.80952380952
2009-09-01,1212.53636363636
2009-10-01,1172.83090909091
2009-11-01,1162.20714285714
2009-12-01,1163.4547826087
2010-01-01,1138.75238095238
2010-02-01,1154.155
2010-03-01,1135.94608695652
2010-04-01,1115.41590909091
2010-05-01,1166.91857142857
2010-06-01,1214.01818181818
2010-07-01,1204.44545454545
2010-08-01,1179.45909090909
2010-09-01,1160.06363636364
2010-10-01,1121.49761904762
2010-11-01,1129.36409090909
2010-12-01,1145.13913043478
2011-01-01,1118.64047619048
2011-02-01,1117.6625
2011-03-01,1118.92173913043
2011-04-01,1083.03333333333
2011-05-01,1084.16363636364
2011-06-01,1079.84545454545
2011-07-01,1057.62857142857
2011-08-01,1074.15
2011-09-01,1119.36818181818
2011-10-01,1151.46904761905
2011-11-01,1134.05909090909
2011-12-01,1148.68636363636
2012-01-01,1141.62954545455
2012-02-01,1122.45238095238
2012-03-01,1126.17727272727
2012-04-01,1134.94761904762
2012-05-01,1157.62913043478
2012-06-01,1163.60857142857
2012-07-01,1141.84272727273
2012-08-01,1131.74565217391
2012-09-01,1123.3885
2012-10-01,1105.65869565217
2012-11-01,1087.00136363636
2012-12-01,1075.13666666667
2013-01-01,1066.35434782609
2013-02-01,1087.0855
2013-03-01,1102.8380952381
2013-04-01,1120.93090909091
2013-05-01,1112.41238095238
2013-06-01,1135.345
2013-07-01,1126.11304347826
2013-08-01,1116.36363636364
2013-09-01,1085.40476190476
2013-10-01,1066.7652173913
2013-11-01,1062.77619047619
2013-12-01,1056.71818181818
2014-01-01,1065.57826086957
2014-02-01,1071.055
2014-03-01,1070.88095238095
2014-04-01,1043.01363636364
2014-05-01,1025.34545454545
2014-06-01,1019.35238095238
2014-07-01,1020.53913043478
2014-08-01,1024.63333333333
2014-09-01,1033.87272727273
2014-10-01,1061.01739130435
2014-11-01,1097.41
2014-12-01,1104.07391304348
2015-01-01,1089.18181818182
2015-02-01,1099.015
2015-03-01,1113.41818181818
2015-04-01,1087.11363636364
2015-05-01,1091.51428571429
2015-06-01,1112.68181818182
2015-07-01,1145.27826086957
2015-08-01,1179.51428571429
2015-09-01,1185.97727272727
2015-10-01,1146.33636363636
2015-11-01,1152.87619047619
2015-12-01,1172.80434782609
2016-01-01,1201.88095238095
2016-02-01,1215.82380952381
2016-03-01,1186.31304347826
2016-04-01,1147.07142857143
2016-05-01,1172.25454545455
2016-06-01,1169.50909090909
2016-07-01,1142.65238095238
2016-08-01,1111.10869565217
2016-09-01,1107.44545454545
2016-10-01,1126.19523809524
2016-11-01,1162.7
2016-12-01,1184.11818181818
2017-01-01,1180.65909090909
2017-02-01,1143.26
2017-03-01,1134.09565217391
2017-04-01,1133.43
2017-05-01,1125.96956521739
2017-06-01,1130.51818181818
2017-07-01,1133.35238095238
2017-08-01,1131.27826086957
2017-09-01,1132.5380952381
2017-10-01,1134.30909090909
2017-11-01,1103.4
2017-12-01,1084.80952380952
2018-01-01,1066.88695652174
2018-02-01,1080.16
2018-03-01,1071.54545454545
2018-04-01,1067.90476190476
2018-05-01,1076.72608695652
2018-06-01,1092.79523809524
2018-07-01,1122.83181818182
2018-08-01,1121.42608695652
2018-09-01,1119.845
2018-10-01,1131.48695652174
2018-11-01,1127.72272727273
2018-12-01,1122.9
2019-01-01,1121.54782608696
2019-02-01,1122.015
2019-03-01,1130.97619047619
2019-04-01,1142.20909090909
2019-05-01,1183.03043478261
2019-06-01,1174.085
2019-07-01,1176.41739130435
2019-08-01,1210.35909090909
2019-09-01,1196.46666666667
2019-10-01,1183.81304347826
2019-11-01,1168.3380952381
2019-12-01,1174.26818181818
2020-01-01,1165.55217391304
2020-02-01,1195.165
2020-03-01,1220.3
2020-04-01,1224.46363636364
2020-05-01,1229.05714285714
2020-06-01,1208.23181818182
2020-07-01,1198.49130434783
2020-08-01,1186.51904761905
2020-09-01,1177.75
2020-10-01,1145.68636363636
2020-11-01,1115.54761904762
2020-12-01,1094.76956521739
2021-01-01,1098.42857142857
2021-02-01,1111.785
2021-03-01,1131.08695652174
2021-04-01,1118.35909090909
2021-05-01,1123.83333333333
2021-06-01,1122.02272727273
2021-07-01,1144.8
2021-08-01,1161.37272727273
2021-09-01,1171.65909090909
2021-10-01,1182.79047619048
2021-11-01,1183.73181818182
2021-12-01,1183.60434782609
2022-01-01,1195.52380952381
2022-02-01,1199.07
2022-03-01,1221.1652173913
2022-04-01,1234.94285714286
2022-05-01,1268.28636363636
2022-06-01,1276.71818181818
2022-07-01,1307.3380952381
2022-08-01,1319.79565217391
2022-09-01,1394.6
2022-10-01,1425.66666666667
2022-11-01,1359.97727272727
2022-12-01,1293.81818181818
2023-01-01,1244.42272727273
2023-02-01,1275.16
2023-03-01,1305.27826086957
2023-04-01,1322.19
2023-05-01,1327.69130434783
2023-06-01,1297.14090909091
2023-07-01,1284.13333333333
2023-08-01,1321.13913043478
2023-09-01,1332.93333333333
2023-10-01,1350.56363636364
2023-11-01,1307.7
2023-12-01,1303.77619047619
