Date,Hungary
1999-02-01,222.84
1999-03-01,232.830434782609
1999-04-01,235.7005
1999-05-01,235.230476190476
1999-06-01,239.975
1999-07-01,242.078181818182
1999-08-01,238.985
1999-09-01,242.841363636364
1999-10-01,240.568095238095
1999-11-01,246.5
1999-12-01,251.266666666667
2000-01-01,251.0805
2000-02-01,260.127142857143
2000-03-01,266.264782608696
2000-04-01,272.5345
2000-05-01,285.682173913043
2000-06-01,273.508636363636
2000-07-01,276.655238095238
2000-08-01,287.932173913043
2000-09-01,301.5325
2000-10-01,307.672272727273
2000-11-01,308.940454545455
2000-12-01,295.5035
2001-01-01,282.297272727273
2001-02-01,288.404
2001-03-01,292.602272727273
2001-04-01,299.157
2001-05-01,295.568260869565
2001-06-01,289.989047619048
2001-07-01,289.159545454545
2001-08-01,278.733043478261
2001-09-01,280.233
2001-10-01,281.501739130435
2001-11-01,282.861818181818
2001-12-01,277.39
2002-01-01,275.882272727273
2002-02-01,279.7895
2002-03-01,278.987619047619
2002-04-01,273.695
2002-05-01,265.819565217391
2002-06-01,254.433
2002-07-01,247.993913043478
2002-08-01,250.864545454545
2002-09-01,248.745238095238
2002-10-01,248.100869565217
2002-11-01,237.976666666667
2002-12-01,232.320526315789
2003-01-01,226.827272727273
2003-02-01,227.4725
2003-03-01,227.551428571429
2003-04-01,226.235909090909
2003-05-01,212.425454545455
2003-06-01,223.489047619048
2003-07-01,231.605652173913
2003-08-01,232.521428571429
2003-09-01,227.711818181818
2003-10-01,218.269130434783
2003-11-01,221.7035
2003-12-01,215.75380952381
2004-01-01,209.325238095238
2004-02-01,207.8895
2004-03-01,206.481304347826
2004-04-01,208.090909090909
2004-05-01,210.545714285714
2004-06-01,208.188636363636
2004-07-01,203.755454545455
2004-08-01,204.153181818182
2004-09-01,202.696363636364
2004-10-01,197.379047619048
2004-11-01,189.22
2004-12-01,183.586956521739
2005-01-01,187.56380952381
2005-02-01,187.511
2005-03-01,185.690434782609
2005-04-01,191.507619047619
2005-05-01,198.324090909091
2005-06-01,204.791818181818
2005-07-01,204.581904761905
2005-08-01,198.700869565217
2005-09-01,200.590909090909
2005-10-01,209.397619047619
2005-11-01,212.755454545455
2005-12-01,212.905909090909
2006-01-01,206.965909090909
2006-02-01,210.8855
2006-03-01,217.054782608696
2006-04-01,216.3125
2006-05-01,205.55652173913
2006-06-01,215.308181818182
2006-07-01,218.502380952381
2006-08-01,214.209130434783
2006-09-01,215.627619047619
2006-10-01,211.237272727273
2006-11-01,200.755
2006-12-01,192.404285714286
2007-01-01,195.358695652174
2007-02-01,193.5705
2007-03-01,188.351818181818
2007-04-01,182.07
2007-05-01,184.057391304348
2007-06-01,186.347619047619
2007-07-01,180.164090909091
2007-08-01,187.458695652174
2007-09-01,182.125
2007-10-01,176.450434782609
2007-11-01,173.234545454545
2007-12-01,173.9475
2008-01-01,173.954130434783
2008-02-01,177.962095238095
2008-03-01,167.381333333333
2008-04-01,161.015772727273
2008-05-01,159.235272727273
2008-06-01,155.997571428571
2008-07-01,147.110739130435
2008-08-01,157.619523809524
2008-09-01,167.751863636364
2008-10-01,196.813
2008-11-01,207.8423
2008-12-01,196.89
2009-01-01,213.4815
2009-02-01,232.7305
2009-03-01,232.683636363636
2009-04-01,222.074545454545
2009-05-01,206.02
2009-06-01,199.765045454545
2009-07-01,192.962173913043
2009-08-01,188.850952380952
2009-09-01,186.285909090909
2009-10-01,181.052272727273
2009-11-01,181.478095238095
2009-12-01,187.361304347826
2010-01-01,188.419047619048
2010-02-01,198.0245
2010-03-01,195.339130434783
2010-04-01,198.11
2010-05-01,219.904761904762
2010-06-01,230.24
2010-07-01,221.448181818182
2010-08-01,217.734090909091
2010-09-01,214.975909090909
2010-10-01,197.174285714286
2010-11-01,202.067272727273
2010-12-01,209.733043478261
