Date,Switzerland
1985-12-01,2.1040099979
1986-01-01,2.06704285038095
1986-02-01,1.95466998235
1986-03-01,1.90905262294737
1986-04-01,1.90325455768182
1986-05-01,1.85760525657895
1986-06-01,1.84003810080952
1986-07-01,1.74532173508696
1986-08-01,1.65982500905
1986-09-01,1.65148182904545
1986-10-01,1.64159130530435
1986-11-01,1.6853299976
1986-12-01,1.66603809309524
1987-01-01,1.5586700023
1987-02-01,1.54081500175
1987-03-01,1.53819091204545
1987-04-01,1.4953950166
1987-05-01,1.46865789510526
1987-06-01,1.50823809419048
1987-07-01,1.53533912747826
1987-08-01,1.536357153
1987-09-01,1.5000904742381
1987-10-01,1.49531819609091
1987-11-01,1.3816952422381
1987-12-01,1.32998636627273
1988-01-01,1.3453700066
1988-02-01,1.39176666733333
1988-03-01,1.38659131534783
1988-04-01,1.38338946036842
1988-05-01,1.4120349944
1988-06-01,1.46148183131818
1988-07-01,1.53252381938095
1988-08-01,1.58324999704545
1988-09-01,1.57678637181818
1988-10-01,1.538642855
1988-11-01,1.4680909135
1988-12-01,1.477457143
1989-01-01,1.55987619780952
1989-02-01,1.57464500055
1989-03-01,1.60684761547619
1989-04-01,1.64604499335
1989-05-01,1.7323299824
1989-06-01,1.70839547031818
1989-07-01,1.63071905433333
1989-08-01,1.66120870213043
1989-09-01,1.68780000428571
1989-10-01,1.63102727045455
1989-11-01,1.61727271831818
1989-12-01,1.56983156584211
1990-01-01,1.51507727663636
1990-02-01,1.48878420663158
1990-03-01,1.51126817677273
1990-04-01,1.48680525089474
1990-05-01,1.4159237997619
1990-06-01,1.42520000345
1990-07-01,1.39257727963636
1990-08-01,1.30643183531818
1990-09-01,1.30748500235
1990-10-01,1.28148261352174
1990-11-01,1.25716362754545
1990-12-01,1.27811666322222
1991-01-01,1.27214286433333
1991-02-01,1.26782500145
1991-03-01,1.38779000035
1991-04-01,1.4383000022381
1991-05-01,1.4539599955
1991-06-01,1.5291649937
1991-07-01,1.54853478721739
1991-08-01,1.52049001455
1991-09-01,1.48390476471429
1991-10-01,1.47932608752174
1991-11-01,1.43538094709524
1991-12-01,1.38729999665
1992-01-01,1.40120454268182
1992-02-01,1.455674994
1992-03-01,1.50897729390909
1992-04-01,1.5162199975
1992-05-01,1.49137368957895
1992-06-01,1.4235476142381
1992-07-01,1.33285454190909
1992-08-01,1.29840951309524
1992-09-01,1.2750227235
1992-10-01,1.31463636595455
1992-11-01,1.42924761214286
1992-12-01,1.42200908872727
1993-01-01,1.4786649884
1993-02-01,1.51809999935
1993-03-01,1.51859546245455
1993-04-01,1.45789499295
1993-05-01,1.44824209326316
1993-06-01,1.47481363463636
1993-07-01,1.51536363363636
1993-08-01,1.49743180918182
1993-09-01,1.41819545895455
1993-10-01,1.44079524561905
1993-11-01,1.49776362290909
1993-12-01,1.46243913278261
1994-01-01,1.47113809133333
1994-02-01,1.4560349942
1994-03-01,1.42938695778261
1994-04-01,1.438568429
1994-05-01,1.41183000795
1994-06-01,1.37421363040909
1994-07-01,1.323842866
1994-08-01,1.31805909763636
1994-09-01,1.29038636254545
1994-10-01,1.26579047947619
1994-11-01,1.29514091118182
1994-12-01,1.33040557311111
1995-01-01,1.288114281
1995-02-01,1.27008000025
1995-03-01,1.17147391791304
1995-04-01,1.13688421252632
1995-05-01,1.16903333995238
1995-06-01,1.15687272213636
1995-07-01,1.15535714509524
1995-08-01,1.19855454309091
1995-09-01,1.18736190461905
1995-10-01,1.14452727272727
1995-11-01,1.14374546031818
1995-12-01,1.16295999285
1996-01-01,1.18095455395455
1996-02-01,1.19576191338095
1996-03-01,1.19567143919048
1996-04-01,1.21990000066667
1996-05-01,1.25356999635
1996-06-01,1.25801500085
1996-07-01,1.23225218317391
1996-08-01,1.20254761904762
1996-09-01,1.23314285714286
1996-10-01,1.25831739130435
1996-11-01,1.27490952380952
1996-12-01,1.32854
1997-01-01,1.39208863636364
1997-02-01,1.45506
1997-03-01,1.46358571428571
1997-04-01,1.46088181818182
1997-05-01,1.43154
1997-06-01,1.4417619047619
1997-07-01,1.48112608695652
1997-08-01,1.50011052631579
1997-09-01,1.47081363636364
1997-10-01,1.45178695652174
1997-11-01,1.41163684210526
1997-12-01,1.43981473684211
1998-01-01,1.475535
1998-02-01,1.462265
1998-03-01,1.49056363636364
1998-04-01,1.503785
1998-05-01,1.478125
1998-06-01,1.49439047619048
1998-07-01,1.51360434782609
1998-08-01,1.4934619047619
