Date,Japan
1991-02-01,36.22330
1991-03-01,38.00282
1991-04-01,38.01244
1991-05-01,38.30594
1991-06-01,38.79430
1991-07-01,38.29546
1991-08-01,37.97697
1991-09-01,37.34791
1991-10-01,36.32609
1991-11-01,35.97544
1991-12-01,35.54227
1992-01-01,34.70184
1992-02-01,35.39036
1992-03-01,36.83847
1992-04-01,37.07117
1992-05-01,36.26127
1992-06-01,35.21634
1992-07-01,34.87205
1992-08-01,35.05994
1992-09-01,34.04138
1992-10-01,33.61553
1992-11-01,34.35997
1992-12-01,34.39500
1993-01-01,34.69252
1993-02-01,33.56922
1993-03-01,32.47287
1993-04-01,31.18404
1993-05-01,30.58228
1993-06-01,29.77407
1993-07-01,29.90748
1993-08-01,28.78259
1993-09-01,29.20690
1993-10-01,29.67713
1993-11-01,29.92730
1993-12-01,30.44026
1994-01-01,30.95213
1994-02-01,29.45913
1994-03-01,29.17134
1994-04-01,28.71697
1994-05-01,28.85885
1994-06-01,28.49664
1994-07-01,27.34580
1994-08-01,27.71082
1994-09-01,27.41521
1994-10-01,27.30643
1994-11-01,27.19488
1994-12-01,27.79483
1995-01-01,27.69101
1995-02-01,27.25856
1995-03-01,25.21266
1995-04-01,23.19268
1995-05-01,23.66241
1995-06-01,23.45027
1995-07-01,24.21274
1995-08-01,26.22034
1995-09-01,27.88091
1995-10-01,27.94487
1995-11-01,28.26929
1995-12-01,28.24376
1996-01-01,29.36485
1996-02-01,29.32644
1996-03-01,29.37881
1996-04-01,29.83399
1996-05-01,29.57356
1996-06-01,30.21437
1996-07-01,30.34757
1996-08-01,29.91807
1996-09-01,30.45529
1996-10-01,31.19319
1996-11-01,31.18675
1996-12-01,31.56989
1997-01-01,32.74206
1997-02-01,34.15051
1997-03-01,34.04688
1997-04-01,34.84415
1997-05-01,32.92875
1997-06-01,31.75715
1997-07-01,31.97023
1997-08-01,32.73230
1997-09-01,33.49756
1997-10-01,33.61944
1997-11-01,34.71691
1997-12-01,35.91491
1998-01-01,35.90987
1998-02-01,34.95424
1998-03-01,35.72864
1998-04-01,36.59691
1998-05-01,37.43781
1998-06-01,38.98020
1998-07-01,39.01596
1998-08-01,40.17932
1998-09-01,37.31695
1998-10-01,33.67639
1998-11-01,33.45070
1998-12-01,32.63412
1999-01-01,31.40171
1999-02-01,32.37793
1999-03-01,33.22665
1999-04-01,33.22818
1999-05-01,33.89003
1999-06-01,33.53360
1999-07-01,33.26922
1999-08-01,31.47442
1999-09-01,29.82795
1999-10-01,29.41919
1999-11-01,29.11707
1999-12-01,28.48324
2000-01-01,29.21237
2000-02-01,30.34743
2000-03-01,29.62486
2000-04-01,29.29938
2000-05-01,30.02144
2000-06-01,29.50195
2000-07-01,29.96356
2000-08-01,30.03774
2000-09-01,29.65369
2000-10-01,30.08407
2000-11-01,30.21265
2000-12-01,31.13250
2001-01-01,32.42246
2001-02-01,32.23619
2001-03-01,33.57756
2001-04-01,34.34914
2001-05-01,33.83965
2001-06-01,33.91201
2001-07-01,34.59586
2001-08-01,33.75083
2001-09-01,32.98763
2001-10-01,33.67835
2001-11-01,33.94175
2001-12-01,35.25195
2002-01-01,36.85221
2002-02-01,37.03397
2002-03-01,36.41931
2002-04-01,36.28964
2002-05-01,35.06051
2002-06-01,34.20346
2002-07-01,32.74941
2002-08-01,33.01777
2002-09-01,33.53144
2002-10-01,34.38486
2002-11-01,33.70190
2002-12-01,33.85686
2003-01-01,32.96845
2003-02-01,33.14062
2003-03-01,32.92622
2003-04-01,33.26954
2003-05-01,32.57238
2003-06-01,32.83927
2003-07-01,32.91893
2003-08-01,32.94274
2003-09-01,31.89881
2003-10-01,30.38642
2003-11-01,30.29346
2003-12-01,29.91335
2004-01-01,29.49762
2004-02-01,29.59513
2004-03-01,30.11254
2004-04-01,29.86522
2004-05-01,31.10568
2004-06-01,30.37759
2004-07-01,30.37595
2004-08-01,30.59581
2004-09-01,30.54409
2004-10-01,30.18847
2004-11-01,29.05568
2004-12-01,28.81745
2005-01-01,28.68309
2005-02-01,29.13475
2005-03-01,29.21452
2005-04-01,29.76336
2005-05-01,29.58924
2005-06-01,30.16631
2005-07-01,31.06802
2005-08-01,30.70434
2005-09-01,30.83169
2005-10-01,31.87026
2005-11-01,32.87157
2005-12-01,32.84887
2006-01-01,32.04525
2006-02-01,32.71605
2006-03-01,32.54756
2006-04-01,32.48794
2006-05-01,31.01261
2006-06-01,31.82047
2006-07-01,32.09636
2006-08-01,32.16605
2006-09-01,32.51922
2006-10-01,32.93326
2006-11-01,32.54677
2006-12-01,32.57076
2007-01-01,33.40395
2007-02-01,33.42923
2007-03-01,32.55207
2007-04-01,32.99605
2007-05-01,33.52581
2007-06-01,34.04905
2007-07-01,33.71064
2007-08-01,32.38383
2007-09-01,31.92697
2007-10-01,32.16171
2007-11-01,30.78060
2007-12-01,31.20686
2008-01-01,29.93850
2008-02-01,29.72432
2008-03-01,27.94626
2008-04-01,28.47381
2008-05-01,28.95653
2008-06-01,29.67423
2008-07-01,29.64923
2008-08-01,30.33964
2008-09-01,29.59403
2008-10-01,27.77019
2008-11-01,26.87915
2008-12-01,25.33860
2009-01-01,25.05000
2009-02-01,25.75894
2009-03-01,27.14091
2009-04-01,27.44516
2009-05-01,26.78736
2009-06-01,26.81403
2009-07-01,26.17214
2009-08-01,26.33107
2009-09-01,25.34699
2009-10-01,25.05864
2009-11-01,24.73755
2009-12-01,24.95222
2010-01-01,25.28700
2010-02-01,25.00608
2010-03-01,25.17096
2010-04-01,25.95043
2010-05-01,25.52182
2010-06-01,25.20534
2010-07-01,24.28021
2010-08-01,23.69296
2010-09-01,23.41344
2010-10-01,22.70042
2010-11-01,22.90839
2010-12-01,23.10756
2011-01-01,22.91542
2011-02-01,22.90373
2011-03-01,22.66078
2011-04-01,23.07848
2011-05-01,22.50109
2011-06-01,22.30999
2011-07-01,22.01248
2011-08-01,21.35375
2011-09-01,21.31704
2011-10-01,21.27182
2011-11-01,21.50688
2011-12-01,21.59353
2012-01-01,21.34429
2012-02-01,21.79735
2012-03-01,22.87824
2012-04-01,22.55374
2012-05-01,22.10710
2012-06-01,22.00654
2012-07-01,21.91770
2012-08-01,21.83503
2012-09-01,21.68619
2012-10-01,21.91599
2012-11-01,22.48456
2012-12-01,23.25397
2013-01-01,24.70669
2013-02-01,25.82749
2013-03-01,26.30649
2013-04-01,27.12048
2013-05-01,28.03347
2013-06-01,27.05959
2013-07-01,27.64881
2013-08-01,27.14646
2013-09-01,27.55895
2013-10-01,27.12590
2013-11-01,27.73430
2013-12-01,28.73478
2014-01-01,28.90698
2014-02-01,28.31182
2014-03-01,28.38775
2014-04-01,28.44984
2014-05-01,28.25849
2014-06-01,28.31613
2014-07-01,28.22493
2014-08-01,28.56760
2014-09-01,29.75750
2014-10-01,29.97668
2014-11-01,32.20461
2014-12-01,33.11185
2015-01-01,32.86666
2015-02-01,32.90960
2015-03-01,33.40274
2015-04-01,33.17279
2015-05-01,33.48506
2015-06-01,34.32619
2015-07-01,34.22741
2015-08-01,34.18013
2015-09-01,33.30977
2015-10-01,33.29754
2015-11-01,33.99289
2015-12-01,33.76917
2016-01-01,32.82381
2016-02-01,31.91202
2016-03-01,31.34947
2016-04-01,30.42937
2016-05-01,30.20705
2016-06-01,29.25787
2016-07-01,28.87642
2016-08-01,28.10632
2016-09-01,28.29671
2016-10-01,28.80863
2016-11-01,30.03437
2016-12-01,32.21301
2017-01-01,31.90587
2017-02-01,31.39112
2017-03-01,31.36648
2017-04-01,30.54543
2017-05-01,31.14231
2017-06-01,30.76988
2017-07-01,31.22857
2017-08-01,30.49646
2017-09-01,30.70978
2017-10-01,31.34141
2017-11-01,31.33005
2017-12-01,31.34433
2018-01-01,30.82656
2018-02-01,29.95754
2018-03-01,29.42198
2018-04-01,29.85150
2018-05-01,30.45302
2018-06-01,30.52782
2018-07-01,30.93096
2018-08-01,30.81715
2018-09-01,31.06283
2018-10-01,31.31653
2018-11-01,31.45152
2018-12-01,31.14255
2019-01-01,30.28242
2019-02-01,30.61647
2019-03-01,30.86597
2019-04-01,30.97674
2019-05-01,30.54870
2019-06-01,29.98765
2019-07-01,30.03412
2019-08-01,29.50359
2019-09-01,29.81583
2019-10-01,30.00335
2019-11-01,30.19270
2019-12-01,30.29724
2020-01-01,30.34021
2020-02-01,30.53336
2020-03-01,29.82927
2020-04-01,29.91644
2020-05-01,29.75491
2020-06-01,29.85526
2020-07-01,29.62378
2020-08-01,29.41133
2020-09-01,29.29294
2020-10-01,29.19279
2020-11-01,28.96852
2020-12-01,28.80201
2021-01-01,28.77334
2021-02-01,29.23437
2021-03-01,30.16225
2021-04-01,30.27252
2021-05-01,30.27027
2021-06-01,30.54687
2021-07-01,30.58925
2021-08-01,30.47169
2021-09-01,30.56579
2021-10-01,31.38080
2021-11-01,31.63934
2021-12-01,31.61394
2022-01-01,31.88242
2022-02-01,31.95528
2022-03-01,32.89709
2022-04-01,35.05849
2022-05-01,35.76011
2022-06-01,37.14131
2022-07-01,37.96010
2022-08-01,37.53209
2022-09-01,39.74289
2022-10-01,40.80396
2022-11-01,39.50954
2022-12-01,37.41541
2023-01-01,36.24625
2023-02-01,36.84763
2023-03-01,37.10799
2023-04-01,37.01593
2023-05-01,38.13040
2023-06-01,39.21526
2023-07-01,39.14186
2023-08-01,40.14772
2023-09-01,40.97192
2023-10-01,41.49885
2023-11-01,41.58386
2023-12-01,39.98031
