Date,Ireland
1975-06-01,122.79923
1975-07-01,127.58689
1975-08-01,132.40255
1975-09-01,134.30641
1975-10-01,136.09828
1975-11-01,136.63024
1975-12-01,138.42212
1976-01-01,138.00215
1976-02-01,138.17013
1976-03-01,144.13371
1976-04-01,151.58118
1976-05-01,155.05293
1976-06-01,158.58068
1976-07-01,156.76081
1976-08-01,157.04079
1976-09-01,161.94044
1976-10-01,170.95579
1976-11-01,171.15178
1976-12-01,166.95208
1977-01-01,163.48033
1977-02-01,163.70431
1977-03-01,163.00436
1977-04-01,162.83637
1977-05-01,162.92037
1977-06-01,162.83637
1977-07-01,162.55639
1977-08-01,160.90451
1977-09-01,160.62453
1977-10-01,158.16071
1977-11-01,153.98900
1977-12-01,151.07721
1978-01-01,144.58168
1978-02-01,144.18970
1978-03-01,146.68153
1978-04-01,151.30120
1978-05-01,153.98900
1978-06-01,152.36512
1978-07-01,147.82944
1978-08-01,144.32969
1978-09-01,143.01379
1978-10-01,139.57003
1978-11-01,142.87380
1978-12-01,141.08193
1979-01-01,139.59803
1979-02-01,139.73802
1979-03-01,137.44219
1979-04-01,138.42212
1979-05-01,141.13792
1979-06-01,139.96201
1979-07-01,135.20235
1979-08-01,136.07028
1979-09-01,133.94244
1979-10-01,134.39040
1979-11-01,134.22242
1979-12-01,131.50661
1980-01-01,130.61067
1980-02-01,132.20656
1980-03-01,139.62603
1980-04-01,140.21399
1980-05-01,134.92237
1980-06-01,132.62653
1980-07-01,130.33069
1980-08-01,132.45854
1980-09-01,133.04650
1980-10-01,137.10621
1980-11-01,143.76973
1980-12-01,148.19342
1981-01-01,150.65724
1981-02-01,161.85644
1981-03-01,161.63246
1981-04-01,165.63617
1981-05-01,175.40747
1981-06-01,181.95901
1981-07-01,187.27863
1981-08-01,191.95429
1981-09-01,180.97908
1981-10-01,177.47933
1981-11-01,175.99543
1981-12-01,177.78730
1982-01-01,181.48304
1982-02-01,188.00657
1982-03-01,189.96643
1982-04-01,194.13814
1982-05-01,187.02664
1982-06-01,197.13392
1982-07-01,200.15771
1982-08-01,201.36162
1982-09-01,204.63739
1982-10-01,208.02515
1982-11-01,210.76895
1982-12-01,203.71345
1983-01-01,200.91365
1983-02-01,204.60939
1983-03-01,208.16514
1983-04-01,216.17256
1983-05-01,218.32841
1983-06-01,225.99986
1983-07-01,229.47161
1983-08-01,237.22706
1983-09-01,238.40298
1983-10-01,234.98722
1983-11-01,241.67874
1983-12-01,247.78231
1984-01-01,253.88587
1984-02-01,245.54247
1984-03-01,237.31105
1984-04-01,241.34277
1984-05-01,250.58211
1984-06-01,250.49811
1984-07-01,259.98943
1984-08-01,262.31327
1984-09-01,273.34448
1984-10-01,277.23620
1984-11-01,270.06871
1984-12-01,278.30013
1985-01-01,284.54368
1985-02-01,295.54690
1985-03-01,297.50676
1985-04-01,276.62025
1985-05-01,277.76817
1985-06-01,273.87644
1985-07-01,261.44533
1985-08-01,251.33805
1985-09-01,255.67774
1985-10-01,239.32691
1985-11-01,235.09921
1985-12-01,228.68767
1986-01-01,224.73995
1986-02-01,216.39655
1986-03-01,209.81702
1986-04-01,210.54497
1986-05-01,203.88144
1986-06-01,206.51325
1986-07-01,201.83759
1986-08-01,207.71717
1986-09-01,208.52911
1986-10-01,205.50533
1986-11-01,208.22113
1986-12-01,204.72138
1987-01-01,194.97808
1987-02-01,190.66638
1987-03-01,192.26227
1987-04-01,189.82644
1987-05-01,186.97065
1987-06-01,189.88244
1987-07-01,192.82223
1987-08-01,194.47411
1987-09-01,188.39855
1987-10-01,188.90251
1987-11-01,177.84330
1987-12-01,172.38369
1988-01-01,175.21149
1988-02-01,178.57125
1988-03-01,175.65946
1988-04-01,175.07150
1988-05-01,177.39533
1988-06-01,183.47090
1988-07-01,191.78630
1988-08-01,197.21792
1988-09-01,195.11807
1988-10-01,191.25434
1988-11-01,184.03086
1988-12-01,182.26698
1989-01-01,190.75038
1989-02-01,195.37005
1989-03-01,195.79002
1989-04-01,196.46197
1989-05-01,203.65746
1989-06-01,207.88516
1989-07-01,198.58982
1989-08-01,202.08957
1989-09-01,204.91737
1989-10-01,196.71395
1989-11-01,193.49418
1989-12-01,185.12278
1990-01-01,179.21520
1990-02-01,177.00336
1990-03-01,178.96322
1990-04-01,176.52739
1990-05-01,173.53161
1990-06-01,175.88344
1990-07-01,171.09578
1990-08-01,163.90030
1990-09-01,163.62032
1990-10-01,159.22463
1990-11-01,155.33291
1990-12-01,157.26477
1991-01-01,158.49668
1991-02-01,155.72488
1991-03-01,168.71595
1991-04-01,178.26327
1991-05-01,180.83909
1991-06-01,187.16663
1991-07-01,187.36262
1991-08-01,182.29498
1991-09-01,177.84330
1991-10-01,177.03136
1991-11-01,170.11585
1991-12-01,164.62824
1992-01-01,165.77616
1992-02-01,169.86387
1992-03-01,174.42754
1992-04-01,172.43969
1992-05-01,169.21992
1992-06-01,165.16021
1992-07-01,156.56482
1992-08-01,153.20506
1992-09-01,153.59703
1992-10-01,157.99272
1992-11-01,168.57596
1992-12-01,167.84801
1993-01-01,171.37576
1993-02-01,189.07050
1993-03-01,189.88244
1993-04-01,183.19092
1993-05-01,184.53482
1993-06-01,189.65846
1993-07-01,198.30984
1993-08-01,201.44562
1993-09-01,195.39805
1993-10-01,195.42605
1993-11-01,199.65374
1993-12-01,197.74988
1994-01-01,195.90201
1994-02-01,197.52590
1994-03-01,195.48204
1994-04-01,195.28606
1994-05-01,190.66638
1994-06-01,187.61460
1994-07-01,183.66688
1994-08-01,184.11485
1994-09-01,181.65103
1994-10-01,176.61139
1994-11-01,179.04721
1994-12-01,182.54696
1995-01-01,179.94315
1995-02-01,179.38319
1995-03-01,175.46347
1995-04-01,172.07571
1995-05-01,173.16763
1995-06-01,172.01972
1995-07-01,170.87180
1995-08-01,174.76352
1995-09-01,176.35941
1995-10-01,173.53161
1995-11-01,174.42754
1995-12-01,176.02343
1996-01-01,176.89137
1996-02-01,177.19935
1996-03-01,178.17928
1996-04-01,178.99122
1996-05-01,179.15921
1996-06-01,176.83537
1996-07-01,174.70752
1996-08-01,173.92358
1996-09-01,173.95158
1996-10-01,174.14756
1996-11-01,168.26798
1996-12-01,168.91194
1997-01-01,171.76773
1997-02-01,176.61139
1997-03-01,178.99122
1997-04-01,180.67110
1997-05-01,185.26277
1997-06-01,185.90672
1997-07-01,187.33462
1997-08-01,193.13021
1997-09-01,189.40647
1997-10-01,190.86237
1997-11-01,186.52268
1997-12-01,192.40226
1998-01-01,202.81752
1998-02-01,203.43347
1998-03-01,204.88937
1998-04-01,201.72560
1998-05-01,197.38591
1998-06-01,199.03779
1998-07-01,200.38169
1998-08-01,199.65374
1998-09-01,190.63839
1998-10-01,183.97486
1998-11-01,189.40647
1998-12-01,188.42654
1999-01-01,189.96835
1999-02-01,196.77168
1999-03-01,202.57300
1999-04-01,206.02425
1999-05-01,207.47323
1999-06-01,212.48444
1999-07-01,213.05476
1999-08-01,208.05869
1999-09-01,209.69308
1999-10-01,205.94040
1999-11-01,213.51029
1999-12-01,217.90975
2000-01-01,217.54737
2000-02-01,223.99300
2000-03-01,228.49953
2000-04-01,233.18249
2000-05-01,242.97318
2000-06-01,232.18520
2000-07-01,234.92543
2000-08-01,243.86177
2000-09-01,253.22413
2000-10-01,258.34968
2000-11-01,257.50650
2000-12-01,244.94423
2001-01-01,234.85905
2001-02-01,239.32897
2001-03-01,242.77597
2001-04-01,246.71436
2001-05-01,252.14240
2001-06-01,258.18191
2001-07-01,255.98822
2001-08-01,244.44731
2001-09-01,241.63320
2001-10-01,243.40105
2001-11-01,248.22439
2001-12-01,246.93818
2002-01-01,249.80931
2002-02-01,253.25241
2002-03-01,251.54059
2002-04-01,248.65712
2002-05-01,240.15340
2002-06-01,230.51969
2002-07-01,222.34321
2002-08-01,225.45614
2002-09-01,224.67640
2002-10-01,224.59417
2002-11-01,220.14749
2002-12-01,216.45609
2003-01-01,207.36232
2003-02-01,204.53680
2003-03-01,204.30208
2003-04-01,202.84815
2003-05-01,190.57649
2003-06-01,188.94303
2003-07-01,193.96752
2003-08-01,197.77460
2003-09-01,195.92047
2003-10-01,188.46002
2003-11-01,188.18050
2003-12-01,179.29297
2004-01-01,174.80362
2004-02-01,174.51133
2004-03-01,179.82685
2004-04-01,183.79269
2004-05-01,183.55075
2004-06-01,181.51248
2004-07-01,179.80849
2004-08-01,180.87465
2004-09-01,180.34804
2004-10-01,176.63916
2004-11-01,169.64744
2004-12-01,164.37061
2005-01-01,168.20119
2005-02-01,169.26879
2005-03-01,167.32001
2005-04-01,170.37754
2005-05-01,173.86864
2005-06-01,181.38018
2005-07-01,183.00271
2005-08-01,179.35497
2005-09-01,180.08269
2005-10-01,183.29898
2005-11-01,186.96470
2005-12-01,185.92357
2006-01-01,181.96514
2006-02-01,184.68378
2006-03-01,183.27860
2006-04-01,179.53186
2006-05-01,172.63241
2006-06-01,174.14204
2006-07-01,173.71869
2006-08-01,172.12416
2006-09-01,173.17103
2006-10-01,174.69942
2006-11-01,171.06677
2006-12-01,167.06773
2007-01-01,169.61138
2007-02-01,168.50012
2007-03-01,166.42576
2007-04-01,163.21495
2007-05-01,163.20661
2007-06-01,164.28164
2007-07-01,160.73903
2007-08-01,161.89229
2007-09-01,158.50789
2007-10-01,154.96422
2007-11-01,150.10463
2007-12-01,151.43499
2008-01-01,149.86787
2008-02-01,149.63920
2008-03-01,142.02492
2008-04-01,140.03938
2008-05-01,141.68267
2008-06-01,141.76190
2008-07-01,139.93260
2008-08-01,147.51595
2008-09-01,153.70004
2008-10-01,166.11483
2008-11-01,173.33676
2008-12-01,164.21899
2009-01-01,167.20680
2009-02-01,172.13502
2009-03-01,169.09510
2009-04-01,167.01035
2009-05-01,161.39709
2009-06-01,157.34334
2009-07-01,156.51820
2009-08-01,154.57202
2009-09-01,151.36472
2009-10-01,148.83897
2009-11-01,147.78791
2009-12-01,151.34119
2010-01-01,154.38302
2010-02-01,161.15401
2010-03-01,162.51010
2010-04-01,164.61490
2010-05-01,175.39373
2010-06-01,180.58126
2010-07-01,172.44272
2010-08-01,170.97939
2010-09-01,168.44362
2010-10-01,158.76157
2010-11-01,161.72832
2010-12-01,166.87221
2011-01-01,165.02593
2011-02-01,161.46272
2011-03-01,157.34268
2011-04-01,152.52450
2011-05-01,154.01075
2011-06-01,153.06860
2011-07-01,154.36202
2011-08-01,153.83382
2011-09-01,160.30508
2011-10-01,160.71458
2011-11-01,162.54017
2011-12-01,167.72197
2012-01-01,170.88919
2012-02-01,166.58414
2012-03-01,166.95021
2012-04-01,167.57115
2012-05-01,172.38477
2012-06-01,175.89773
2012-07-01,179.50882
2012-08-01,177.76310
2012-09-01,171.36326
2012-10-01,169.92089
2012-11-01,171.82131
2012-12-01,167.97016
2013-01-01,165.81764
2013-02-01,165.27740
2013-03-01,170.23818
2013-04-01,169.29556
2013-05-01,169.94418
2013-06-01,167.26986
2013-07-01,168.60526
2013-08-01,165.61157
2013-09-01,165.18175
2013-10-01,161.62934
2013-11-01,163.47139
2013-12-01,160.90314
2014-01-01,161.86700
2014-02-01,161.35158
2014-03-01,159.45940
2014-04-01,159.66322
2014-05-01,160.54944
2014-06-01,162.19594
2014-07-01,162.91957
2014-08-01,165.57949
2014-09-01,170.93098
2014-10-01,173.98599
2014-11-01,176.70339
2014-12-01,179.09100
2015-01-01,189.61042
2015-02-01,194.16606
2015-03-01,203.84825
2015-04-01,203.89515
2015-05-01,197.59578
2015-06-01,196.59042
2015-07-01,200.38854
2015-08-01,198.09138
2015-09-01,196.56195
2015-10-01,196.31830
2015-11-01,205.67781
2015-12-01,202.52051
2016-01-01,203.25166
2016-02-01,198.82734
2016-03-01,198.12619
2016-04-01,194.44270
2016-05-01,195.05803
2016-06-01,196.30898
2016-07-01,199.40264
2016-08-01,196.74307
2016-09-01,196.67000
2016-10-01,200.14478
2016-11-01,204.55335
2016-12-01,209.22379
2017-01-01,207.43682
2017-02-01,207.13180
2017-03-01,206.23952
2017-04-01,205.80471
2017-05-01,199.43808
2017-06-01,196.24874
2017-07-01,191.43243
2017-08-01,186.68749
2017-09-01,185.10853
