Date,Uk
1971-03-01,115.76401
1971-04-01,115.79753
1971-05-01,115.76401
1971-06-01,115.75444
1971-07-01,115.77359
1971-08-01,115.08837
1971-09-01,113.37814
1971-10-01,112.40867
1971-11-01,112.31849
1971-12-01,110.85115
1972-01-01,108.86858
1972-02-01,107.53072
1972-03-01,106.83327
1972-04-01,107.28352
1972-05-01,107.20138
1972-06-01,108.69953
1972-07-01,114.61727
1972-08-01,114.28980
1972-09-01,114.71118
1972-10-01,116.86561
1972-11-01,119.05187
1972-12-01,119.40725
1973-01-01,118.89072
1973-02-01,115.49012
1973-03-01,113.12817
1973-04-01,112.73794
1973-05-01,110.56939
1973-06-01,108.67451
1973-07-01,110.23608
1973-08-01,113.04200
1973-09-01,115.67694
1973-10-01,115.25970
1973-11-01,117.25493
1973-12-01,120.82757
1974-01-01,125.67524
1974-02-01,123.11475
1974-03-01,119.61640
1974-04-01,117.22420
1974-05-01,116.03836
1974-06-01,117.12298
1974-07-01,117.17295
1974-08-01,119.38610
1974-09-01,120.76426
1974-10-01,120.00247
1974-11-01,120.35641
1974-12-01,120.17942
1975-01-01,118.22016
1975-02-01,116.89875
1975-03-01,115.80887
1975-04-01,118.08823
1975-05-01,120.64204
1975-06-01,122.81279
1975-07-01,127.58758
1975-08-01,132.40994
1975-09-01,134.33460
1975-10-01,136.11835
1975-11-01,136.63154
1975-12-01,138.45050
1976-01-01,138.02025
1976-02-01,138.18191
1976-03-01,144.14074
1976-04-01,151.59998
1976-05-01,155.05823
1976-06-01,158.60895
1976-07-01,156.76930
1976-08-01,157.04688
1976-09-01,161.96026
1976-10-01,170.98497
1976-11-01,171.17464
1976-12-01,166.96364
1977-01-01,163.49906
1977-02-01,163.70894
1977-03-01,163.02133
1977-04-01,162.86630
1977-05-01,162.93391
1977-06-01,162.85431
1977-07-01,162.56312
1977-08-01,160.93506
1977-09-01,160.63039
1977-10-01,158.18285
1977-11-01,153.99995
1977-12-01,151.09901
1978-01-01,144.61413
1978-02-01,144.19443
1978-03-01,146.68664
1978-04-01,151.32515
1978-05-01,154.00951
