Date,Czech
2019-03-01,82.16411
2019-04-01,82.63601
2019-05-01,83.31425
2019-06-01,81.99153
2019-07-01,82.36344
2019-08-01,83.88192
2019-09-01,85.02537
2019-10-01,84.08468
2019-11-01,83.56098
2019-12-01,83.04063
2020-01-01,82.15365
2020-02-01,83.09311
2020-03-01,86.96431
2020-04-01,90.67836
2020-05-01,90.47110
2020-06-01,85.74750
2020-07-01,83.71669
2020-08-01,80.01782
2020-09-01,82.03443
2020-10-01,83.54816
2020-11-01,80.86662
2020-12-01,78.23654
2021-01-01,77.67517
2021-02-01,77.36189
2021-03-01,79.58255
2021-04-01,78.47048
2021-05-01,76.11588
2021-06-01,76.43375
2021-07-01,78.45979
2021-08-01,78.25296
2021-09-01,78.01983
2021-10-01,79.47836
2021-11-01,80.46101
2021-12-01,80.79725
2022-01-01,78.23065
2022-02-01,77.94622
2022-03-01,82.10364
2022-04-01,81.67150
2022-05-01,84.63624
2022-06-01,84.63871
2022-07-01,87.20955
2022-08-01,87.75332
2022-09-01,89.75108
2022-10-01,90.28353
2022-11-01,86.40744
2022-12-01,82.89118
2023-01-01,80.48485
2023-02-01,80.04339
2023-03-01,80.02084
2023-04-01,77.32391
2023-05-01,78.49964
2023-06-01,79.06943
2023-07-01,78.12403
2023-08-01,79.95244
2023-09-01,82.58334
2023-10-01,84.18986
2023-11-01,81.98099
2023-12-01,81.17631
