Date,Lithuania
2019-07-01,95.61687
2019-08-01,96.38683
2019-09-01,97.40925
2019-10-01,97.00512
2019-11-01,97.04502
2019-12-01,96.50254
2020-01-01,96.58539
2020-02-01,98.32384
2020-03-01,97.13418
2020-04-01,98.62677
2020-05-01,98.32101
2020-06-01,95.23362
2020-07-01,93.46248
2020-08-01,90.64723
2020-09-01,90.99303
2020-10-01,91.10206
2020-11-01,90.62201
2020-12-01,88.13181
2021-01-01,88.11329
2021-02-01,88.65161
2021-03-01,90.12279
2021-04-01,89.64754
2021-05-01,88.24386
2021-06-01,89.00206
2021-07-01,90.68260
2021-08-01,91.12536
2021-09-01,91.10523
2021-10-01,92.43297
2021-11-01,94.01369
2021-12-01,94.88141
2022-01-01,94.72539
2022-02-01,94.52394
2022-03-01,97.29120
2022-04-01,99.28051
2022-05-01,101.36849
2022-06-01,101.49385
2022-07-01,105.32582
2022-08-01,105.84366
2022-09-01,108.34822
2022-10-01,108.97454
2022-11-01,105.09516
2022-12-01,101.28470
2023-01-01,99.56537
2023-02-01,100.17645
2023-03-01,100.11577
2023-04-01,97.79922
2023-05-01,98.77255
2023-06-01,98.91219
2023-07-01,96.99463
2023-08-01,98.29696
2023-09-01,100.44916
2023-10-01,101.55039
2023-11-01,99.14985
2023-12-01,98.25652
