Date,Portugal
1987-07-01,502.44327
1987-08-01,507.13537
1987-09-01,495.97342
1987-10-01,497.21213
1987-11-01,476.54716
1987-12-01,465.35351
1988-01-01,471.52718
1988-02-01,483.62713
1988-03-01,479.09078
1988-04-01,476.13496
1988-05-01,482.16855
1988-06-01,499.24388
1988-07-01,523.13297
1988-08-01,534.76670
1988-09-01,536.80438
1988-10-01,523.47374
1988-11-01,504.28861
1988-12-01,504.54018
1989-01-01,521.50227
1989-02-01,527.89615
1989-03-01,534.49596
1989-04-01,537.87897
1989-05-01,559.75860
1989-06-01,575.07744
1989-07-01,552.01277
1989-08-01,559.51783
1989-09-01,568.62502
1989-10-01,553.28214
1989-11-01,548.08863
1989-12-01,530.64709
1990-01-01,517.93772
1990-02-01,513.98466
1990-03-01,522.89847
1990-04-01,519.27713
1990-05-01,511.17972
1990-06-01,514.39931
1990-07-01,501.49133
1990-08-01,482.72641
1990-09-01,483.29402
1990-10-01,467.95706
1990-11-01,455.04281
1990-12-01,460.28231
1991-01-01,468.08389
1991-02-01,453.25844
1991-03-01,487.01188
1991-04-01,514.52718
1991-05-01,520.64510
1991-06-01,545.31644
1991-07-01,537.90127
1991-08-01,521.00086
1991-09-01,507.00888
1991-10-01,506.34789
1991-11-01,492.06218
1991-12-01,482.68146
1992-01-01,474.64747
1992-02-01,484.72471
1992-03-01,497.23582
1992-04-01,490.42172
1992-05-01,469.58114
1992-06-01,455.40867
1992-07-01,439.95045
1992-08-01,435.27194
1992-09-01,443.60455
1992-10-01,459.02304
1992-11-01,492.67822
1992-12-01,493.58172
1993-01-01,505.92001
1993-02-01,521.44512
1993-03-01,530.22791
1993-04-01,515.04009
1993-05-01,527.60102
1993-06-01,547.66632
1993-07-01,582.25357
1993-08-01,603.39625
1993-09-01,578.87544
1993-10-01,590.23008
1993-11-01,606.07750
1993-12-01,608.70823
1994-01-01,613.67002
1994-02-01,610.64904
1994-03-01,606.52281
1994-04-01,604.03215
1994-05-01,596.85811
1994-06-01,590.29140
1994-07-01,562.09942
1994-08-01,557.05784
1994-09-01,551.07616
1994-10-01,541.33376
1994-11-01,546.98024
1994-12-01,561.85482
1995-01-01,550.23746
1995-02-01,541.57418
1995-03-01,515.42686
1995-04-01,507.59531
1995-05-01,516.69623
1995-06-01,513.80103
1995-07-01,508.15351
1995-08-01,522.27441
1995-09-01,530.76800
1995-10-01,518.83739
1995-11-01,517.77430
1995-12-01,526.06266
1996-01-01,528.40069
1996-02-01,531.36836
1996-03-01,532.70742
1996-04-01,537.97235
1996-05-01,549.01583
1996-06-01,547.88270
1996-07-01,539.15705
1996-08-01,530.38994
1996-09-01,535.74234
1996-10-01,537.82253
1996-11-01,532.32936
1996-12-01,545.31644
1997-01-01,557.91674
1997-02-01,586.22858
1997-03-01,593.83051
1997-04-01,597.40307
1997-05-01,597.65047
1997-06-01,607.37021
1997-07-01,629.97460
1997-08-01,649.95488
1997-09-01,632.41124
1997-10-01,622.96781
1997-11-01,615.77321
1997-12-01,632.47536
1998-01-01,647.12380
1998-02-01,646.52448
1998-03-01,651.22285
1998-04-01,647.68304
1998-05-01,632.63390
1998-06-01,638.84520
1998-07-01,640.73514
1998-08-01,637.68280
1998-09-01,608.13330
1998-10-01,585.33274
1998-11-01,600.10767
1998-12-01,596.52709
1999-01-01,601.82810
1999-02-01,623.38133
1999-03-01,641.76019
1999-04-01,652.69390
1999-05-01,657.28432
1999-06-01,673.16004
1999-07-01,674.96685
1999-08-01,659.13910
1999-09-01,664.31691
1999-10-01,652.42824
1999-11-01,676.40998
1999-12-01,690.34768
2000-01-01,689.19964
2000-02-01,709.61969
2000-03-01,723.89656
2000-04-01,738.73240
2000-05-01,769.74972
2000-06-01,735.57293
2000-07-01,744.25409
2000-08-01,772.56482
2000-09-01,802.22520
2000-10-01,818.46317
2000-11-01,815.79192
2000-12-01,775.99411
2001-01-01,744.04382
2001-02-01,758.20470
2001-03-01,769.12496
2001-04-01,781.60196
2001-05-01,798.79823
2001-06-01,817.93165
2001-07-01,810.98194
2001-08-01,774.41982
2001-09-01,765.50460
2001-10-01,771.10523
2001-11-01,786.38578
2001-12-01,782.31101
2002-01-01,791.40689
2002-02-01,802.31479
2002-03-01,796.89165
2002-04-01,787.75670
2002-05-01,760.81653
2002-06-01,730.29651
2002-07-01,704.39309
2002-08-01,714.25499
2002-09-01,711.78473
2002-10-01,711.52423
2002-11-01,697.43693
2002-12-01,685.74242
2003-01-01,656.93295
2003-02-01,647.98158
2003-03-01,647.23799
2003-04-01,642.63188
