Date,Germany
1997-02-01,40.17252
1997-03-01,40.63764
1997-04-01,41.02124
1997-05-01,40.80546
1997-06-01,41.38806
1997-07-01,42.96082
1997-08-01,44.17156
1997-09-01,42.92246
1997-10-01,42.13128
1997-11-01,41.63500
1997-12-01,42.61558
1998-01-01,43.55540
1998-02-01,43.47149
1998-03-01,43.79035
1998-04-01,43.50745
1998-05-01,42.55324
1998-06-01,42.94883
1998-07-01,43.09748
1998-08-01,42.88410
1998-09-01,40.82944
1998-10-01,39.25908
1998-11-01,40.26123
1998-12-01,40.01429
1999-01-01,40.39785
1999-02-01,41.84462
1999-03-01,43.07830
1999-04-01,43.81223
1999-05-01,44.12036
1999-06-01,45.18602
1999-07-01,45.30731
1999-08-01,44.24486
1999-09-01,44.59243
1999-10-01,43.79440
1999-11-01,45.40418
1999-12-01,46.33975
2000-01-01,46.26268
2000-02-01,47.63339
2000-03-01,48.59172
2000-04-01,49.58758
2000-05-01,51.66963
2000-06-01,49.37550
2000-07-01,49.95823
2000-08-01,51.85859
2000-09-01,53.84955
2000-10-01,54.93953
2000-11-01,54.76022
2000-12-01,52.08878
2001-01-01,49.94411
2001-02-01,50.89467
2001-03-01,51.62769
2001-04-01,52.46521
2001-05-01,53.61952
2001-06-01,54.90385
2001-07-01,54.43735
2001-08-01,51.98311
2001-09-01,51.38467
2001-10-01,51.76062
2001-11-01,52.78633
2001-12-01,52.51281
2002-01-01,53.12337
2002-02-01,53.85557
2002-03-01,53.49154
2002-04-01,52.87835
2002-05-01,51.06999
2002-06-01,49.02132
2002-07-01,47.28255
2002-08-01,47.94453
2002-09-01,47.77871
2002-10-01,47.76123
2002-11-01,46.81561
2002-12-01,46.03062
2003-01-01,44.09678
2003-02-01,43.49591
2003-03-01,43.44600
2003-04-01,43.13681
2003-05-01,40.52717
2003-06-01,40.17981
2003-07-01,41.24830
2003-08-01,42.05789
2003-09-01,41.66360
2003-10-01,40.07709
2003-11-01,40.01765
2003-12-01,38.12767
2004-01-01,37.17298
2004-02-01,37.11083
2004-03-01,38.24120
2004-04-01,39.08456
2004-05-01,39.03311
2004-06-01,38.59966
2004-07-01,38.23730
2004-08-01,38.46402
2004-09-01,38.35204
2004-10-01,37.56332
2004-11-01,36.07649
2004-12-01,34.95435
2005-01-01,35.76894
2005-02-01,35.99597
2005-03-01,35.58155
2005-04-01,36.23175
2005-05-01,36.97415
2005-06-01,38.57153
2005-07-01,38.91657
2005-08-01,38.14085
2005-09-01,38.29561
2005-10-01,38.97957
2005-11-01,39.75911
2005-12-01,39.53770
2006-01-01,38.69592
2006-02-01,39.27406
2006-03-01,38.97524
2006-04-01,38.17847
2006-05-01,36.71126
2006-06-01,37.03229
2006-07-01,36.94227
2006-08-01,36.60318
2006-09-01,36.82580
2006-10-01,37.15082
2006-11-01,36.37832
2006-12-01,35.52790
2007-01-01,36.06882
2007-02-01,35.83251
2007-03-01,35.39138
2007-04-01,34.70859
2007-05-01,34.70681
2007-06-01,34.93542
2007-07-01,34.18207
2007-08-01,34.42732
2007-09-01,33.70760
2007-10-01,32.95402
2007-11-01,31.92060
2007-12-01,32.20351
2008-01-01,31.87026
2008-02-01,31.82163
2008-03-01,30.20241
2008-04-01,29.78017
2008-05-01,30.12963
2008-06-01,30.14647
2008-07-01,29.75746
2008-08-01,31.37011
2008-09-01,32.68519
2008-10-01,35.32526
2008-11-01,36.86105
2008-12-01,34.92210
2009-01-01,35.55748
2009-02-01,36.60549
2009-03-01,35.95903
2009-04-01,35.51570
2009-05-01,34.32201
2009-06-01,33.45995
2009-07-01,33.28448
2009-08-01,32.87062
2009-09-01,32.18857
2009-10-01,31.65145
2009-11-01,31.42794
2009-12-01,32.18356
2010-01-01,32.83043
2010-02-01,34.27032
2010-03-01,34.55870
2010-04-01,35.00629
2010-05-01,37.29847
2010-06-01,38.40163
2010-07-01,36.67093
2010-08-01,36.35974
2010-09-01,35.82049
2010-10-01,33.76155
2010-11-01,34.39245
2010-12-01,35.48632
2011-01-01,35.09370
2011-02-01,34.33596
2011-03-01,33.45982
2011-04-01,32.43520
2011-05-01,32.75126
2011-06-01,32.55091
2011-07-01,32.82596
2011-08-01,32.71364
2011-09-01,34.08979
2011-10-01,34.17687
2011-11-01,34.56509
2011-12-01,35.66703
2012-01-01,36.34056
2012-02-01,35.42506
2012-03-01,35.50291
2012-04-01,35.63496
2012-05-01,36.65860
2012-06-01,37.40565
2012-07-01,38.17357
2012-08-01,37.80233
2012-09-01,36.44137
2012-10-01,36.13464
2012-11-01,36.53878
2012-12-01,35.71981
2013-01-01,35.26206
2013-02-01,35.14718
2013-03-01,36.20212
2013-04-01,36.00166
2013-05-01,36.13960
2013-06-01,35.57089
