Date,Norway
1973-09-01,77.28727
1973-10-01,76.55366
1973-11-01,78.40078
1973-12-01,79.14383
1974-01-01,83.28176
1974-02-01,80.69267
1974-03-01,78.80788
1974-04-01,76.74449
1974-05-01,74.67108
1974-06-01,75.95385
1974-07-01,75.35067
1974-08-01,76.66330
1974-09-01,77.67253
1974-10-01,76.92872
1974-11-01,76.00909
1974-12-01,74.04819
1975-01-01,71.45688
1975-02-01,69.91583
1975-03-01,68.60489
1975-04-01,69.69307
1975-05-01,69.09643
1975-06-01,68.53075
1975-07-01,72.59681
1975-08-01,76.33538
1975-09-01,78.28339
1975-10-01,77.17785
1975-11-01,77.13147
1975-12-01,77.75726
1976-01-01,77.70057
1976-02-01,77.19282
1976-03-01,77.47780
1976-04-01,76.81657
1976-05-01,76.93953
1976-06-01,77.57052
1976-07-01,78.10505
1976-08-01,77.05294
1976-09-01,75.82260
1976-10-01,74.54010
1976-11-01,73.68282
1976-12-01,72.86194
1977-01-01,73.73905
1977-02-01,73.88621
1977-03-01,73.42714
1977-04-01,73.88025
1977-05-01,73.73001
1977-06-01,73.89933
1977-07-01,73.54248
1977-08-01,74.08782
1977-09-01,76.68692
1977-10-01,76.66268
1977-11-01,76.29528
1977-12-01,73.23991
1978-01-01,71.98309
1978-02-01,73.73728
1978-03-01,74.40153
1978-04-01,75.02723
1978-05-01,76.18107
1978-06-01,75.56411
1978-07-01,75.36909
1978-08-01,73.61031
1978-09-01,72.88635
1978-10-01,68.84762
1978-11-01,70.85200
1978-12-01,71.16707
1979-01-01,70.85076
1979-02-01,71.29642
1979-03-01,71.26011
1979-04-01,71.94243
1979-05-01,72.56150
1979-06-01,72.00182
1979-07-01,70.52884
1979-08-01,70.35733
1979-09-01,69.65956
1979-10-01,69.47873
1979-11-01,70.16763
1979-12-01,69.54492
1980-01-01,68.68417
1980-02-01,68.25470
1980-03-01,70.62369
1980-04-01,70.72348
1980-05-01,68.56322
1980-06-01,67.83339
1980-07-01,67.38663
1980-08-01,68.07404
1980-09-01,67.64872
1980-10-01,68.48296
1980-11-01,70.02698
1980-12-01,72.20550
1981-01-01,73.17857
1981-02-01,75.77632
1981-03-01,75.39296
1981-04-01,76.47324
1981-05-01,79.23017
1981-06-01,82.46659
1981-07-01,85.30023
1981-08-01,86.45867
1981-09-01,83.35426
1981-10-01,82.55453
1981-11-01,80.95245
1981-12-01,80.78722
1982-01-01,81.93743
1982-02-01,83.45588
1982-03-01,84.24616
1982-04-01,85.07192
1982-05-01,83.40072
1982-06-01,86.44408
1982-07-01,88.69350
1982-08-01,93.33599
1982-09-01,96.40718
1982-10-01,100.16935
1982-11-01,101.20737
1982-12-01,98.24406
1983-01-01,98.51232
1983-02-01,99.36854
1983-03-01,100.39786
1983-04-01,99.78155
1983-05-01,99.42920
1983-06-01,101.59171
1983-07-01,102.34868
1983-08-01,104.44620
1983-09-01,103.81996
1983-10-01,102.35367
1983-11-01,104.43695
1983-12-01,107.90515
1984-01-01,109.94734
1984-02-01,107.58440
1984-03-01,104.90603
1984-04-01,106.18118
1984-05-01,109.18516
1984-06-01,109.43643
1984-07-01,114.87363
1984-08-01,116.07261
1984-09-01,120.32836
1984-10-01,123.91269
1984-11-01,121.63856
1984-12-01,125.40983
1985-01-01,128.18975
1985-02-01,132.34920
1985-03-01,132.25619
1985-04-01,124.48238
1985-05-01,125.12246
1985-06-01,123.31774
1985-07-01,118.01179
1985-08-01,115.15493
1985-09-01,116.56926
1985-10-01,110.56645
1985-11-01,109.02365
1985-12-01,107.17423
1986-01-01,105.65429
1986-02-01,101.81809
1986-03-01,99.75993
1986-04-01,99.82367
1986-05-01,103.84884
1986-06-01,106.47399
1986-07-01,104.41048
1986-08-01,102.97333
1986-09-01,102.55539
1986-10-01,102.72331
1986-11-01,105.33768
1986-12-01,105.11512
1987-01-01,100.27909
1987-02-01,98.03098
1987-03-01,96.84232
1987-04-01,94.67646
1987-05-01,93.00033
1987-06-01,93.80741
1987-07-01,94.46678
1987-08-01,95.01030
1987-09-01,92.91071
1987-10-01,92.66872
1987-11-01,89.73707
1987-12-01,89.12543
1988-01-01,88.78555
1988-02-01,89.71128
1988-03-01,88.54758
1988-04-01,86.75968
1988-05-01,86.43588
1988-06-01,89.26586
1988-07-01,93.84712
1988-08-01,96.36010
1988-09-01,96.61043
1988-10-01,94.41731
1988-11-01,91.85550
1988-12-01,91.10169
1989-01-01,93.37833
1989-02-01,93.95670
