Date,Italy
1970-12-01,100.38028
1971-01-01,100.34277
1971-02-01,100.39912
1971-03-01,100.23039
1971-04-01,100.18676
1971-05-01,100.25535
1971-06-01,100.56849
1971-07-01,100.32409
1971-08-01,99.64725
1971-09-01,98.77302
1971-10-01,98.59157
1971-11-01,98.65195
1971-12-01,96.69676
1972-01-01,95.09739
1972-02-01,94.48350
1972-03-01,93.82291
1972-04-01,93.93239
1972-05-01,93.71359
1972-06-01,93.60460
1972-07-01,93.49592
1972-08-01,93.60460
1972-09-01,93.60460
1972-10-01,93.60460
1972-11-01,94.09710
1972-12-01,93.71359
1973-01-01,94.20656
1973-02-01,92.63143
1973-03-01,91.36552
1973-04-01,94.93665
1973-05-01,94.83559
1973-06-01,95.98138
1973-07-01,93.38029
1973-08-01,92.34471
1973-09-01,90.86357
1973-10-01,91.04404
1973-11-01,95.12429
1973-12-01,97.69158
1974-01-01,103.80598
1974-02-01,105.19499
1974-03-01,102.47631
1974-04-01,102.22293
1974-05-01,101.62320
1974-06-01,104.53046
1974-07-01,103.65109
1974-08-01,105.39839
1974-09-01,106.53026
1974-10-01,107.35690
1974-11-01,107.19477
1974-12-01,106.43728
1975-01-01,103.81560
1975-02-01,102.66205
1975-03-01,101.60366
1975-04-01,101.98838
1975-05-01,100.93731
1975-06-01,100.67453
1975-07-01,104.36965
1975-08-01,107.56180
1975-09-01,109.10495
1975-10-01,109.17312
1975-11-01,109.22804
1975-12-01,109.93500
1976-01-01,112.92341
1976-02-01,123.44587
1976-03-01,132.89781
1976-04-01,141.50730
1976-05-01,137.87350
1976-06-01,136.66266
1976-07-01,134.84848
1976-08-01,134.95569
1976-09-01,135.90888
1976-10-01,137.65615
1976-11-01,139.33782
1976-12-01,139.66968
1977-01-01,141.51978
1977-02-01,142.07003
1977-03-01,142.68941
1977-04-01,142.83478
1977-05-01,142.66785
1977-06-01,142.49524
1977-07-01,142.07751
1977-08-01,142.04006
1977-09-01,142.20556
1977-10-01,141.76128
1977-11-01,141.35456
1977-12-01,140.98569
1978-01-01,140.26051
1978-02-01,138.42458
1978-03-01,137.65025
1978-04-01,138.07148
1978-05-01,140.10623
1978-06-01,138.34181
1978-07-01,136.30988
1978-08-01,134.79798
1978-09-01,133.61851
1978-10-01,130.60832
1978-11-01,135.90777
1978-12-01,135.64160
1979-01-01,134.56490
1979-02-01,135.22350
1979-03-01,135.51956
1979-04-01,135.84842
1979-05-01,137.15664
1979-06-01,136.16306
1979-07-01,132.09757
1979-08-01,131.76171
1979-09-01,130.60079
1979-10-01,132.88660
1979-11-01,132.92857
1979-12-01,130.59388
1980-01-01,129.52011
1980-02-01,130.34638
1980-03-01,138.37107
1980-04-01,141.45230
1980-05-01,135.65818
1980-06-01,134.39206
1980-07-01,133.90055
1980-08-01,136.42134
1980-09-01,136.99873
1980-10-01,140.62861
1980-11-01,146.44923
1980-12-01,150.50134
1981-01-01,153.50201
1981-02-01,164.24295
1981-03-01,166.01259
1981-04-01,173.32186
1981-05-01,183.45485
1981-06-01,190.52088
1981-07-01,195.44979
1981-08-01,200.28937
1981-09-01,191.24606
1981-10-01,191.83443
1981-11-01,191.51181
1981-12-01,194.42476
1982-01-01,197.57075
1982-02-01,203.71330
1982-03-01,208.12401
1982-04-01,212.82111
1982-05-01,206.30032
1982-06-01,218.46968
1982-07-01,222.31507
1982-08-01,223.76432
1982-09-01,226.86473
1982-10-01,231.95348
1982-11-01,236.63359
1982-12-01,224.81082
1983-01-01,221.29834
1983-02-01,225.11101
1983-03-01,229.51892
1983-04-01,233.86733
1983-05-01,236.47973
1983-06-01,243.28199
1983-07-01,246.64817
1983-08-01,255.64055
1983-09-01,257.81954
1983-10-01,254.61959
1983-11-01,262.11123
1983-12-01,268.20482
1984-01-01,274.78523
1984-02-01,268.66761
1984-03-01,259.86938
1984-04-01,263.34305
1984-05-01,273.15938
1984-06-01,272.61528
1984-07-01,281.65249
1984-08-01,286.15497
1984-09-01,300.68119
1984-10-01,305.87516
1984-11-01,299.33389
1984-12-01,307.87319
1985-01-01,313.77804
1985-02-01,327.65790
1985-03-01,335.22516
1985-04-01,317.34096
1985-05-01,319.32377
1985-06-01,314.60629
1985-07-01,308.38095
1985-08-01,301.11208
1985-09-01,306.24582
1985-10-01,287.43062
1985-11-01,282.00538
1985-12-01,275.88643
1986-01-01,268.23753
1986-02-01,255.34663
1986-03-01,248.72485
1986-04-01,250.24710
1986-05-01,246.39983
1986-06-01,246.50260
1986-07-01,238.04551
1986-08-01,228.93827
1986-09-01,226.68768
1986-10-01,223.21237
1986-11-01,225.72746
1986-12-01,222.63618
1987-01-01,212.13151
1987-02-01,209.38292
1987-03-01,210.07852
1987-04-01,208.06224
1987-05-01,207.71076
1987-06-01,211.91609
1987-07-01,215.24007
1987-08-01,216.67802
1987-09-01,210.96230
1987-10-01,209.79566
1987-11-01,199.92295
1987-12-01,193.87112
1988-01-01,195.41918
