DATE,CCRETT01FIM661N_NBD19700101
2002-03-01,84.99554
2002-04-01,85.28882
2002-05-01,86.11166
2002-06-01,86.86676
2002-07-01,87.63236
2002-08-01,87.32841
2002-09-01,87.34462
2002-10-01,87.48477
2002-11-01,87.48277
2002-12-01,87.64153
2003-01-01,88.41705
2003-02-01,88.95808
2003-03-01,89.14409
2003-04-01,89.08871
2003-05-01,90.46623
2003-06-01,90.46967
2003-07-01,89.48745
2003-08-01,89.08116
2003-09-01,89.01041
2003-10-01,89.39046
2003-11-01,89.18281
2003-12-01,90.20430
2004-01-01,90.23846
2004-02-01,90.40809
2004-03-01,88.91322
2004-04-01,87.82342
2004-05-01,88.00865
2004-06-01,88.13350
2004-07-01,88.26792
2004-08-01,88.27774
2004-09-01,88.34518
2004-10-01,88.63752
2004-11-01,88.81735
2004-12-01,89.04149
2005-01-01,87.81017
2005-02-01,87.70124
2005-03-01,87.73681
2005-04-01,87.27341
2005-05-01,86.32932
2005-06-01,85.40107
2005-07-01,85.14890
2005-08-01,85.49312
2005-09-01,85.27779
2005-10-01,84.98635
2005-11-01,84.60020
2005-12-01,84.39569
2006-01-01,84.01942
2006-02-01,83.76308
2006-03-01,83.98469
2006-04-01,84.31886
2006-05-01,84.91818
2006-06-01,84.91337
2006-07-01,84.64722
2006-08-01,84.92974
2006-09-01,84.85748
2006-10-01,84.82480
2006-11-01,84.81966
2006-12-01,84.95910
2007-01-01,84.38403
2007-02-01,84.70333
2007-03-01,85.27309
2007-04-01,85.59893
2007-05-01,85.25969
2007-06-01,85.13959
2007-07-01,84.98228
2007-08-01,85.00499
2007-09-01,85.33977
2007-10-01,85.25253
2007-11-01,85.79740
2007-12-01,85.30618
2008-01-01,86.02384
2008-02-01,85.59777
2008-03-01,86.97977
2008-04-01,87.07636
2008-05-01,86.72723
2008-06-01,86.66879
2008-07-01,86.44687
2008-08-01,85.80955
2008-09-01,85.68728
2008-10-01,84.74281
2008-11-01,84.44594
2008-12-01,87.30732
2009-01-01,88.13365
2009-02-01,88.74148
2009-03-01,89.08542
2009-04-01,88.00511
2009-05-01,87.52551
2009-06-01,88.27894
2009-07-01,87.92409
2009-08-01,87.65559
2009-09-01,87.97283
2009-10-01,87.32908
2009-11-01,87.23003
2009-12-01,86.85541
2010-01-01,85.83554
2010-02-01,84.23128
2010-03-01,83.55563
2010-04-01,82.87800
2010-05-01,81.67452
2010-06-01,81.04258
2010-07-01,81.26207
2010-08-01,81.35859
2010-09-01,81.63461
2010-10-01,83.13209
2010-11-01,82.81290
2010-12-01,81.42061
2011-01-01,81.06922
2011-02-01,81.12492
2011-03-01,81.64503
2011-04-01,82.16255
2011-05-01,81.61894
2011-06-01,82.22606
2011-07-01,81.56421
2011-08-01,82.34527
2011-09-01,82.31856
2011-10-01,82.59585
2011-11-01,82.12476
2011-12-01,81.19173
2012-01-01,80.53548
2012-02-01,80.43850
2012-03-01,80.28425
2012-04-01,80.32037
2012-05-01,80.36107
2012-06-01,80.51974
2012-07-01,78.95641
2012-08-01,78.51365
2012-09-01,79.60644
2012-10-01,79.84097
2012-11-01,79.37713
2012-12-01,79.77108
2013-01-01,79.88622
2013-02-01,80.01290
2013-03-01,79.37158
2013-04-01,79.89393
2013-05-01,79.87852
2013-06-01,80.97181
2013-07-01,80.81879
2013-08-01,81.33065
2013-09-01,81.25148
2013-10-01,81.78502
2013-11-01,81.84573
2013-12-01,82.70594
2014-01-01,82.82754
2014-02-01,83.45955
2014-03-01,84.05436
